udeptcd,udeptnm,udeptmdobligcd,udeptmdoblignm,udeptobligcd,udeptoblignm
1873,무대의상디자인전공,192,의복,19,섬유.의복
1874,무선인터넷콘텐츠전공,202,전자,20,전기.전자
1874,무선인터넷콘텐츠전공,212,방송.무선,21,정보통신
1875,무선정보통신전공,202,전자,20,전기.전자
1875,무선정보통신전공,212,방송.무선,21,정보통신
1876,무술연기전공,083,방송,8,문화.예술.디자인.방송
1877,무역사무자동화과,211,정보기술,21,정보통신
1878,문예영상창작과,083,방송,8,문화.예술.디자인.방송
1879,문헌정보과,211,정보기술,21,정보통신
1879,문헌정보과,231,인쇄.사진,23,인쇄.목재.가구.공예
1880,문화공예품개발학전공,082,디자인,8,문화.예술.디자인.방송
1881,문화산업공예디자인전공,082,디자인,8,문화.예술.디자인.방송
1882,"문화산업디자인(과,전공)",082,디자인,8,문화.예술.디자인.방송
1883,문화아트디자인전공,082,디자인,8,문화.예술.디자인.방송
1884,문화영상디자인과,024,생산관리,2,경영.회계.사무
1884,문화영상디자인과,082,디자인,8,문화.예술.디자인.방송
1884,문화영상디자인과,083,방송,8,문화.예술.디자인.방송
1885,문화예술학부,083,방송,8,문화.예술.디자인.방송
1886,문화이벤트디자인학전공,082,디자인,8,문화.예술.디자인.방송
1887,문화정보디자인전공,082,디자인,8,문화.예술.디자인.방송
1888,"문화조형(학부,디자인전공)",082,디자인,8,문화.예술.디자인.방송
1889,"문화컨텐츠(전공,학과)",083,방송,8,문화.예술.디자인.방송
1889,"문화컨텐츠(전공,학과)",202,전자,20,전기.전자
1890,문화컨텐츠.이벤트디자인전공,082,디자인,8,문화.예술.디자인.방송
1890,문화컨텐츠.이벤트디자인전공,202,전자,20,전기.전자
1891,문화컨텐츠개발과,202,전자,20,전기.전자
1892,"물류시스템(학과,공학,공학과,전공)",024,생산관리,2,경영.회계.사무
1892,"물류시스템(학과,공학,공학과,전공)",091,운전.운송,9,운전.운송
1893,물류운영정보전공,024,생산관리,2,경영.회계.사무
1894,"물류유통(과,정보과)",024,생산관리,2,경영.회계.사무
1895,물류유통비즈니스전공,024,생산관리,2,경영.회계.사무
1896,"물류유통학(과,전공)",024,생산관리,2,경영.회계.사무
1897,물류정보전공,024,생산관리,2,경영.회계.사무
1898,물류포장학과,024,생산관리,2,경영.회계.사무
1898,물류포장학과,082,디자인,8,문화.예술.디자인.방송
1899,"물류학(과,전공)",024,생산관리,2,경영.회계.사무
1900,"물리(학과,전공,학부)",252,비파괴검사,25,안전관리
1900,"물리(학과,전공,학부)",262,에너지.기상,26,환경.에너지
1901,물리·응용수학과군,262,에너지.기상,26,환경.에너지
1902,물리·화학·생물학과군,181,화공,18,화학
1902,물리·화학·생물학과군,262,에너지.기상,26,환경.에너지
1903,물리·화학계열,181,화공,18,화학
1903,물리·화학계열,262,에너지.기상,26,환경.에너지
1904,물리교육(과ㆍ전공),262,에너지.기상,26,환경.에너지
1906,물리및에너지학부,262,에너지.기상,26,환경.에너지
1907,"물리반도체(과학부,과학전공,학부)",202,전자,20,전기.전자
1907,"물리반도체(과학부,과학전공,학부)",262,에너지.기상,26,환경.에너지
1908,물리ㆍ천문우주ㆍ지구환경(과학과군ㆍ학과군ㆍ학군),152,광해방지,15,광업자원
1908,물리ㆍ천문우주ㆍ지구환경(과학과군ㆍ학과군ㆍ학군),191,섬유,19,섬유.의복
1908,물리ㆍ천문우주ㆍ지구환경(과학과군ㆍ학과군ㆍ학군),261,환경,26,환경.에너지
1908,물리ㆍ천문우주ㆍ지구환경(과학과군ㆍ학과군ㆍ학군),262,에너지.기상,26,환경.에너지
1909,물리ㆍ화학부,181,화공,18,화학
1909,물리ㆍ화학부,262,에너지.기상,26,환경.에너지
1910,물리지구해양과학학과군,142,토목,14,건설
1910,물리지구해양과학학과군,152,광해방지,15,광업자원
1910,물리지구해양과학학과군,191,섬유,19,섬유.의복
1910,물리지구해양과학학과군,262,에너지.기상,26,환경.에너지
1911,물리천문지구환경학부,142,토목,14,건설
1911,물리천문지구환경학부,152,광해방지,15,광업자원
1911,물리천문지구환경학부,191,섬유,19,섬유.의복
1911,물리천문지구환경학부,261,환경,26,환경.에너지
1911,물리천문지구환경학부,262,에너지.기상,26,환경.에너지
1913,"물리화학(과군,부)",181,화공,18,화학
1913,"물리화학(과군,부)",262,에너지.기상,26,환경.에너지
1914,물유전체전공,181,화공,18,화학
1914,물유전체전공,221,식품,22,식품.가공
1915,물질생물화학공학부,181,화공,18,화학
1915,물질생물화학공학부,262,에너지.기상,26,환경.에너지
1916,물질시스템공학과,181,화공,18,화학
1916,물질시스템공학과,262,에너지.기상,26,환경.에너지
1917,물질화학공학과,181,화공,18,화학
1917,물질화학공학과,262,에너지.기상,26,환경.에너지
1918,뮤직프로덕션,083,방송,8,문화.예술.디자인.방송
1919,미디어공학전공,202,전자,20,전기.전자
1919,미디어공학전공,212,방송.무선,21,정보통신
1920,"미디어디자인(계열,전공)",082,디자인,8,문화.예술.디자인.방송
1920,"미디어디자인(계열,전공)",202,전자,20,전기.전자
1920,"미디어디자인(계열,전공)",211,정보기술,21,정보통신
1921,"미디어디자인(학부,컨텐츠학부)",082,디자인,8,문화.예술.디자인.방송
1921,"미디어디자인(학부,컨텐츠학부)",202,전자,20,전기.전자
1921,"미디어디자인(학부,컨텐츠학부)",211,정보기술,21,정보통신
1922,미디어미술과,082,디자인,8,문화.예술.디자인.방송
1922,미디어미술과,202,전자,20,전기.전자
1923,미디어사진과,082,디자인,8,문화.예술.디자인.방송
1923,미디어사진과,083,방송,8,문화.예술.디자인.방송
1923,미디어사진과,202,전자,20,전기.전자
1924,미디어시스템전공,202,전자,20,전기.전자
1924,미디어시스템전공,212,방송.무선,21,정보통신
1925,"미디어아트(전공,학부)",083,방송,8,문화.예술.디자인.방송
1925,"미디어아트(전공,학부)",202,전자,20,전기.전자
1926,미디어아트디자인과,082,디자인,8,문화.예술.디자인.방송
1926,미디어아트디자인과,202,전자,20,전기.전자
1927,미디어연예학전공,083,방송,8,문화.예술.디자인.방송
1927,미디어연예학전공,202,전자,20,전기.전자
1928,"미디어영상(과,학과,학부)",082,디자인,8,문화.예술.디자인.방송
1928,"미디어영상(과,학과,학부)",083,방송,8,문화.예술.디자인.방송
1928,"미디어영상(과,학과,학부)",202,전자,20,전기.전자
1929,미디어영상시스템과,024,생산관리,2,경영.회계.사무
1929,미디어영상시스템과,083,방송,8,문화.예술.디자인.방송
1929,미디어영상시스템과,202,전자,20,전기.전자
1930,미디어영상전자과,083,방송,8,문화.예술.디자인.방송
1930,미디어영상전자과,202,전자,20,전기.전자
1931,"미디어영상학(과,부)",082,디자인,8,문화.예술.디자인.방송
1931,"미디어영상학(과,부)",083,방송,8,문화.예술.디자인.방송
1931,"미디어영상학(과,부)",202,전자,20,전기.전자
1932,미디어(학)(과ㆍ전공),083,방송,8,문화.예술.디자인.방송
1932,미디어(학)(과ㆍ전공),202,전자,20,전기.전자
1932,미디어(학)(과ㆍ전공),211,정보기술,21,정보통신
1932,미디어(학)(과ㆍ전공),212,방송.무선,21,정보통신
1933,미디어정보계열,202,전자,20,전기.전자
1933,미디어정보계열,212,방송.무선,21,정보통신
1934,미디어정보공학전공,202,전자,20,전기.전자
1934,미디어정보공학전공,212,방송.무선,21,정보통신
1935,미디어커뮤니케이션과,082,디자인,8,문화.예술.디자인.방송
1935,미디어커뮤니케이션과,202,전자,20,전기.전자
1935,미디어커뮤니케이션과,212,방송.무선,21,정보통신
1936,"미디어테크놀리지(학과,전공,공학과)",202,전자,20,전기.전자
1936,"미디어테크놀리지(학과,전공,공학과)",211,정보기술,21,정보통신
1936,"미디어테크놀리지(학과,전공,공학과)",212,방송.무선,21,정보통신
1937,미디어통신공학전공,202,전자,20,전기.전자
1937,미디어통신공학전공,212,방송.무선,21,정보통신
1939,미디어홍보출판과,083,방송,8,문화.예술.디자인.방송
1939,미디어홍보출판과,202,전자,20,전기.전자
1939,미디어홍보출판과,231,인쇄.사진,23,인쇄.목재.가구.공예
1940,미래농촌지도사지식농업인전공,241,농업,24,농림어업
1941,미생물·유전공학전공,181,화공,18,화학
1941,미생물·유전공학전공,221,식품,22,식품.가공
1941,미생물·유전공학전공,241,농업,24,농림어업
1941,미생물·유전공학전공,261,환경,26,환경.에너지
1942,"미생물공학(과,전공)",181,화공,18,화학
1942,"미생물공학(과,전공)",221,식품,22,식품.가공
1942,"미생물공학(과,전공)",241,농업,24,농림어업
1942,"미생물공학(과,전공)",261,환경,26,환경.에너지
1943,미생물생명공학과,181,화공,18,화학
1943,미생물생명공학과,221,식품,22,식품.가공
1943,미생물생명공학과,241,농업,24,농림어업
1943,미생물생명공학과,261,환경,26,환경.에너지
1944,"미생물학(과,전공)",181,화공,18,화학
1944,"미생물학(과,전공)",221,식품,22,식품.가공
1944,"미생물학(과,전공)",241,농업,24,농림어업
1944,"미생물학(과,전공)",261,환경,26,환경.에너지
1945,"미술(과,전공,학과,학부)",082,디자인,8,문화.예술.디자인.방송
1946,미술디자인학부,082,디자인,8,문화.예술.디자인.방송
1947,"미술산업디자인(학부,전공)",082,디자인,8,문화.예술.디자인.방송
1948,미술조형디자인학부,082,디자인,8,문화.예술.디자인.방송
1949,미술창작학과,082,디자인,8,문화.예술.디자인.방송
1950,미술치료교육사전공,082,디자인,8,문화.예술.디자인.방송
1951,미용디자인전공,082,디자인,8,문화.예술.디자인.방송
1952,미용예술계열,061,보건.의료,6,보건.의료
1952,미용예술계열,061-2,보건.의료(국제의료관광코디네이터),6,보건.의료
1952,미용예술계열,082,디자인,8,문화.예술.디자인.방송
1953,바이오공학과,181,화공,18,화학
1953,바이오공학과,221,식품,22,식품.가공
1953,바이오공학과,241,농업,24,농림어업
1954,바이오메카트로닉스전공,162,기계장비설비.설치,16,기계
1954,바이오메카트로닉스전공,202,전자,20,전기.전자
1955,바이오배양공정과,181,화공,18,화학
1955,바이오배양공정과,221,식품,22,식품.가공
1955,바이오배양공정과,241,농업,24,농림어업
1956,바이오벤처학부,181,화공,18,화학
1956,바이오벤처학부,221,식품,22,식품.가공
1956,바이오벤처학부,241,농업,24,농림어업
1957,"바이오비즈니스학(과,부,전공)",181,화공,18,화학
1957,"바이오비즈니스학(과,부,전공)",221,식품,22,식품.가공
1957,"바이오비즈니스학(과,부,전공)",241,농업,24,농림어업
1958,"바이오산업과(과,학과,전공)",181,화공,18,화학
1958,"바이오산업과(과,학과,전공)",221,식품,22,식품.가공
1958,"바이오산업과(과,학과,전공)",241,농업,24,농림어업
1959,바이오산업기계공학과,162,기계장비설비.설치,16,기계
1959,바이오산업기계공학과,241,농업,24,농림어업
1960,바이오생명정보과,181,화공,18,화학
1960,바이오생명정보과,221,식품,22,식품.가공
1960,바이오생명정보과,241,농업,24,농림어업
1960,바이오생명정보과,261,환경,26,환경.에너지
1961,바이오소재공학전공,181,화공,18,화학
1961,바이오소재공학전공,221,식품,22,식품.가공
1961,바이오소재공학전공,241,농업,24,농림어업
1962,바이오시스템·소재학부,024,생산관리,2,경영.회계.사무
1962,바이오시스템·소재학부,181,화공,18,화학
1962,바이오시스템·소재학부,221,식품,22,식품.가공
1962,바이오시스템·소재학부,241,농업,24,농림어업
1963,바이오시스템·조경학계열,024,생산관리,2,경영.회계.사무
1963,바이오시스템·조경학계열,181,화공,18,화학
1963,바이오시스템·조경학계열,221,식품,22,식품.가공
1963,바이오시스템·조경학계열,241,농업,24,농림어업
1964,"바이오시스템(공학)(과,전공)",024,생산관리,2,경영.회계.사무
1964,"바이오시스템(공학)(과,전공)",162,기계장비설비.설치,16,기계
1964,"바이오시스템(공학)(과,전공)",181,화공,18,화학
1964,"바이오시스템(공학)(과,전공)",221,식품,22,식품.가공
1964,"바이오시스템(공학)(과,전공)",241,농업,24,농림어업
1964,"바이오시스템(공학)(과,전공)",261,환경,26,환경.에너지
1965,바이오식품공학(과ㆍ전공ㆍ부ㆍ계열),131,조리,13,음식서비스
1965,바이오식품공학(과ㆍ전공ㆍ부ㆍ계열),181,화공,18,화학
1965,바이오식품공학(과ㆍ전공ㆍ부ㆍ계열),221,식품,22,식품.가공
1965,바이오식품공학(과ㆍ전공ㆍ부ㆍ계열),241,농업,24,농림어업
1966,바이오식품(학)(과ㆍ전공ㆍ부ㆍ계열),131,조리,13,음식서비스
1966,바이오식품(학)(과ㆍ전공ㆍ부ㆍ계열),181,화공,18,화학
1966,바이오식품(학)(과ㆍ전공ㆍ부ㆍ계열),221,식품,22,식품.가공
1966,바이오식품(학)(과ㆍ전공ㆍ부ㆍ계열),241,농업,24,농림어업
1967,"바이오식품생명(과,과학과)",131,조리,13,음식서비스
1967,"바이오식품생명(과,과학과)",241,농업,24,농림어업
1968,바이오식품소재학과,181,화공,18,화학
1968,바이오식품소재학과,221,식품,22,식품.가공
1969,바이오일렉트로닉스과,201,전기,20,전기.전자
1970,바이오전공,241,농업,24,농림어업
1971,바이오정보과학과,181,화공,18,화학
1971,바이오정보과학과,221,식품,22,식품.가공
1971,바이오정보과학과,241,농업,24,농림어업
1972,바이오정보전자전공,202,전자,20,전기.전자
1972,바이오정보전자전공,261,환경,26,환경.에너지
1973,바이오푸드전공,131,조리,13,음식서비스
1973,바이오푸드전공,181,화공,18,화학
1973,바이오푸드전공,221,식품,22,식품.가공
1974,바이오품질관리과,024,생산관리,2,경영.회계.사무
1974,바이오품질관리과,181,화공,18,화학
1974,바이오품질관리과,221,식품,22,식품.가공
1974,바이오품질관리과,241,농업,24,농림어업
1975,바이오환경(학)(과ㆍ전공),261,환경,26,환경.에너지
1976,"바이오환경공학(과,부)",261,환경,26,환경.에너지
1977,"반도체공학(과,전공)",202,전자,20,전기.전자
1978,"반도체과학(과,기술학과,전공)",202,전자,20,전기.전자
1979,반도체광디스플레이학부,202,전자,20,전기.전자
1980,반도체및신소재공학과,202,전자,20,전기.전자
1981,반도체및전파통신전공,202,전자,20,전기.전자
1981,반도체및전파통신전공,213,통신,21,정보통신
1982,반도체설계공학전공,202,전자,20,전기.전자
1983,반도체설계전공,202,전자,20,전기.전자
1984,"반도체시스템(공학과,과,전공)",162,기계장비설비.설치,16,기계
1984,"반도체시스템(공학과,과,전공)",181,화공,18,화학
1984,"반도체시스템(공학과,과,전공)",202,전자,20,전기.전자
1984,"반도체시스템(공학과,과,전공)",251,안전관리,25,안전관리
1986,반도체응용(전공ㆍ물리학과),202,전자,20,전기.전자
1987,반도체전공,182,위험물,18,화학
1987,반도체전공,202,전자,20,전기.전자
1988,반도체전기자동차공학부,201,전기,20,전기.전자
1988,반도체전기자동차공학부,202,전자,20,전기.전자
1989,"반도체전자(전공,공학부)",162,기계장비설비.설치,16,기계
1989,"반도체전자(전공,공학부)",202,전자,20,전기.전자
1990,"반도체학(과,과군)",202,전자,20,전기.전자
1991,반도체ATE공학과,202,전자,20,전기.전자
1992,반도체IT공학과,202,전자,20,전기.전자
1993,반주전공,232,목재.가구.공예,23,인쇄.목재.가구.공예
1994,발효·기능성식품전공,131,조리,13,음식서비스
1994,발효·기능성식품전공,181,화공,18,화학
1994,발효·기능성식품전공,221,식품,22,식품.가공
1995,"발효건강식품(과,전공)",131,조리,13,음식서비스
1995,"발효건강식품(과,전공)",181,화공,18,화학
1995,"발효건강식품(과,전공)",221,식품,22,식품.가공
1996,발효공학과,131,조리,13,음식서비스
1996,발효공학과,181,화공,18,화학
1996,발효공학과,221,식품,22,식품.가공
1997,방사선학과,061,보건.의료,6,보건.의료
1997,방사선학과,061-2,보건.의료(국제의료관광코디네이터),6,보건.의료
1997,방사선학과,252,비파괴검사,25,안전관리
1998,방송계열,083,방송,8,문화.예술.디자인.방송
1998,방송계열,212,방송.무선,21,정보통신
1999,방송공연학부,083,방송,8,문화.예술.디자인.방송
1999,방송공연학부,212,방송.무선,21,정보통신
2000,방송극작(과),083,방송,8,문화.예술.디자인.방송
2000,방송극작(과),212,방송.무선,21,정보통신
2001,"방송기술(과,계열)",083,방송,8,문화.예술.디자인.방송
2001,"방송기술(과,계열)",212,방송.무선,21,정보통신
2002,방송디지털콘텐츠전공,083,방송,8,문화.예술.디자인.방송
2002,방송디지털콘텐츠전공,202,전자,20,전기.전자
2002,방송디지털콘텐츠전공,212,방송.무선,21,정보통신
2003,방송매체과,083,방송,8,문화.예술.디자인.방송
2003,방송매체과,212,방송.무선,21,정보통신
2004,방송미디어정보과,083,방송,8,문화.예술.디자인.방송
2004,방송미디어정보과,212,방송.무선,21,정보통신
2005,방송보도과,083,방송,8,문화.예술.디자인.방송
2005,방송보도과,212,방송.무선,21,정보통신
2006,방송보도제작계열,083,방송,8,문화.예술.디자인.방송
2006,방송보도제작계열,212,방송.무선,21,정보통신
2007,방송사진영상과,083,방송,8,문화.예술.디자인.방송
2007,방송사진영상과,212,방송.무선,21,정보통신
2008,방송산업학과,083,방송,8,문화.예술.디자인.방송
2008,방송산업학과,212,방송.무선,21,정보통신
2009,방송설비과,083,방송,8,문화.예술.디자인.방송
2009,방송설비과,212,방송.무선,21,정보통신
2010,방송시스템전공,024,생산관리,2,경영.회계.사무
2010,방송시스템전공,083,방송,8,문화.예술.디자인.방송
2010,방송시스템전공,212,방송.무선,21,정보통신
2011,방송ㆍ영상(과ㆍ전공),083,방송,8,문화.예술.디자인.방송
2011,방송ㆍ영상(과ㆍ전공),212,방송.무선,21,정보통신
2012,방송엔터테이너·모델과,083,방송,8,문화.예술.디자인.방송
2012,방송엔터테이너·모델과,212,방송.무선,21,정보통신
2013,방송연극영화과,083,방송,8,문화.예술.디자인.방송
2013,방송연극영화과,212,방송.무선,21,정보통신
2014,방송연기학과,083,방송,8,문화.예술.디자인.방송
2014,방송연기학과,212,방송.무선,21,정보통신
2015,방송연예(학)(과ㆍ전공ㆍ부),083,방송,8,문화.예술.디자인.방송
2015,방송연예(학)(과ㆍ전공ㆍ부),212,방송.무선,21,정보통신
2016,방송연예·생활음악과,083,방송,8,문화.예술.디자인.방송
2016,방송연예·생활음악과,212,방송.무선,21,정보통신
2016,방송연예·생활음악과,232,목재.가구.공예,23,인쇄.목재.가구.공예
2017,"방송연예제작(과,학부)",083,방송,8,문화.예술.디자인.방송
2017,"방송연예제작(과,학부)",212,방송.무선,21,정보통신
2019,방송영상(학)(과ㆍ전공ㆍ부ㆍ계열ㆍ과군),082,디자인,8,문화.예술.디자인.방송
2019,방송영상(학)(과ㆍ전공ㆍ부ㆍ계열ㆍ과군),083,방송,8,문화.예술.디자인.방송
2019,방송영상(학)(과ㆍ전공ㆍ부ㆍ계열ㆍ과군),212,방송.무선,21,정보통신
2021,방송영상기술학과,083,방송,8,문화.예술.디자인.방송
2021,방송영상기술학과,212,방송.무선,21,정보통신
2022,방송영상디자인과,024,생산관리,2,경영.회계.사무
2022,방송영상디자인과,082,디자인,8,문화.예술.디자인.방송
2022,방송영상디자인과,083,방송,8,문화.예술.디자인.방송
2022,방송영상디자인과,212,방송.무선,21,정보통신
2023,방송영상문화학과,083,방송,8,문화.예술.디자인.방송
2023,방송영상문화학과,212,방송.무선,21,정보통신
2024,방송영상미디어과,083,방송,8,문화.예술.디자인.방송
2024,방송영상미디어과,212,방송.무선,21,정보통신
2025,방송영상사진과,083,방송,8,문화.예술.디자인.방송
2025,방송영상사진과,212,방송.무선,21,정보통신
2026,방송영상산업학과,083,방송,8,문화.예술.디자인.방송
2026,방송영상산업학과,212,방송.무선,21,정보통신
2027,방송영상아트과,083,방송,8,문화.예술.디자인.방송
2027,방송영상아트과,212,방송.무선,21,정보통신
2028,방송영상음향전공,083,방송,8,문화.예술.디자인.방송
2028,방송영상음향전공,212,방송.무선,21,정보통신
2030,방송영상정보학부,083,방송,8,문화.예술.디자인.방송
2030,방송영상정보학부,212,방송.무선,21,정보통신
2031,방송영상제작계열,083,방송,8,문화.예술.디자인.방송
2031,방송영상제작계열,212,방송.무선,21,정보통신
2033,방송음악과,083,방송,8,문화.예술.디자인.방송
2033,방송음악과,212,방송.무선,21,정보통신
2033,방송음악과,232,목재.가구.공예,23,인쇄.목재.가구.공예
2034,방송음향과,083,방송,8,문화.예술.디자인.방송
2034,방송음향과,212,방송.무선,21,정보통신
2035,방송이벤트설비전공,083,방송,8,문화.예술.디자인.방송
2035,방송이벤트설비전공,212,방송.무선,21,정보통신
2036,방송전공,083,방송,8,문화.예술.디자인.방송
2036,방송전공,212,방송.무선,21,정보통신
2037,방송전자과,083,방송,8,문화.예술.디자인.방송
2037,방송전자과,202,전자,20,전기.전자
2037,방송전자과,212,방송.무선,21,정보통신
2038,방송정보전자과,083,방송,8,문화.예술.디자인.방송
2038,방송정보전자과,202,전자,20,전기.전자
2038,방송정보전자과,212,방송.무선,21,정보통신
2039,"방송정보통신(과,계열)",083,방송,8,문화.예술.디자인.방송
2039,"방송정보통신(과,계열)",202,전자,20,전기.전자
2039,"방송정보통신(과,계열)",212,방송.무선,21,정보통신
2040,방송정보학과,083,방송,8,문화.예술.디자인.방송
2040,방송정보학과,212,방송.무선,21,정보통신
2041,방송제작과,083,방송,8,문화.예술.디자인.방송
2041,방송제작과,212,방송.무선,21,정보통신
2042,방송제작기술과,083,방송,8,문화.예술.디자인.방송
2042,방송제작기술과,212,방송.무선,21,정보통신
2043,방송통신공학전공,083,방송,8,문화.예술.디자인.방송
2043,방송통신공학전공,212,방송.무선,21,정보통신
2044,방송통신과,083,방송,8,문화.예술.디자인.방송
2044,방송통신과,212,방송.무선,21,정보통신
2045,방송통신기술전공,083,방송,8,문화.예술.디자인.방송
2045,방송통신기술전공,212,방송.무선,21,정보통신
2046,방송통신설비과,083,방송,8,문화.예술.디자인.방송
2046,방송통신설비과,162,기계장비설비.설치,16,기계
2046,방송통신설비과,212,방송.무선,21,정보통신
2047,방송통신전공,083,방송,8,문화.예술.디자인.방송
2047,방송통신전공,212,방송.무선,21,정보통신
2048,방송IT전공,083,방송,8,문화.예술.디자인.방송
2048,방송IT전공,212,방송.무선,21,정보통신
2049,방재시스템(과ㆍ전공),251,안전관리,25,안전관리
2050,"벤처경영(전공,트랙)",024,생산관리,2,경영.회계.사무
2051,벤처금형공학과,167,금형.공작기계,16,기계
2052,벤처창업디자인과,082,디자인,8,문화.예술.디자인.방송
2053,병원의료공학과,202,전자,20,전기.전자
2054,병원전산전공,202,전자,20,전기.전자
2055,보건·생화학과,181,화공,18,화학
2055,보건·생화학과,261,환경,26,환경.에너지
2056,보건다이어트과,131,조리,13,음식서비스
2056,보건다이어트과,221,식품,22,식품.가공
2057,보건식품계열,131,조리,13,음식서비스
2057,보건식품계열,181,화공,18,화학
2057,보건식품계열,221,식품,22,식품.가공
2058,보건식품환경계열,131,조리,13,음식서비스
2058,보건식품환경계열,181,화공,18,화학
2058,보건식품환경계열,221,식품,22,식품.가공
2058,보건식품환경계열,261,환경,26,환경.에너지
2059,보건안전공학과,182,위험물,18,화학
2059,보건안전공학과,251,안전관리,25,안전관리
2059,보건안전공학과,261,환경,26,환경.에너지
2060,보건영양학부,131,조리,13,음식서비스
2060,보건영양학부,221,식품,22,식품.가공
2061,보건의료공학과,061,보건.의료,6,보건.의료
2061,보건의료공학과,061-2,보건.의료(국제의료관광코디네이터),6,보건.의료
2061,보건의료공학과,202,전자,20,전기.전자
2062,보건의료기기과,202,전자,20,전기.전자
2063,보건허브과,241,농업,24,농림어업
2064,"보건환경(과,학과,전공,학부,계열)",061,보건.의료,6,보건.의료
2064,"보건환경(과,학과,전공,학부,계열)",061-2,보건.의료(국제의료관광코디네이터),6,보건.의료
2064,"보건환경(과,학과,전공,학부,계열)",221,식품,22,식품.가공
2064,"보건환경(과,학과,전공,학부,계열)",261,환경,26,환경.에너지
2065,보건환경교육과,261,환경,26,환경.에너지
2066,보건환경위생과,261,환경,26,환경.에너지
2067,보건환경의공학부,261,환경,26,환경.에너지
2068,보건IT산업과,202,전자,20,전기.전자
2069,정보및컴퓨터공학부,202,전자,20,전기.전자
2069,정보및컴퓨터공학부,211,정보기술,21,정보통신
2070,보석가공학과,232,목재.가구.공예,23,인쇄.목재.가구.공예
2071,"보석감정,딜러과",232,목재.가구.공예,23,인쇄.목재.가구.공예
2072,보석감정과,232,목재.가구.공예,23,인쇄.목재.가구.공예
2073,보석감정디자인과,082,디자인,8,문화.예술.디자인.방송
2073,보석감정디자인과,232,목재.가구.공예,23,인쇄.목재.가구.공예
2074,보석공학과,171,금속.재료,17,재료
2074,보석공학과,232,목재.가구.공예,23,인쇄.목재.가구.공예
2075,보석귀금속감정디자인학과,082,디자인,8,문화.예술.디자인.방송
2075,보석귀금속감정디자인학과,232,목재.가구.공예,23,인쇄.목재.가구.공예
2076,"보석귀금속디자인(과,계열)",082,디자인,8,문화.예술.디자인.방송
2076,"보석귀금속디자인(과,계열)",232,목재.가구.공예,23,인쇄.목재.가구.공예
2077,보석귀금속재료학과,232,목재.가구.공예,23,인쇄.목재.가구.공예
2078,보석디자인과,082,디자인,8,문화.예술.디자인.방송
2078,보석디자인과,232,목재.가구.공예,23,인쇄.목재.가구.공예
2079,보석학부,232,목재.가구.공예,23,인쇄.목재.가구.공예
2080,복식디자인전공,082,디자인,8,문화.예술.디자인.방송
2080,복식디자인전공,192,의복,19,섬유.의복
2081,복지지적학과,142,토목,14,건설
2082,복지토지정보학부,142,토목,14,건설
2083,본초응용과학전공,181,화공,18,화학
2083,본초응용과학전공,221,식품,22,식품.가공
2083,본초응용과학전공,241,농업,24,농림어업
2084,부동산·금융학부,144,도시.교통,14,건설
2085,부동산·세무학부,144,도시.교통,14,건설
2086,부동산·환경조경학부,143,조경,14,건설
2086,부동산·환경조경학부,261,환경,26,환경.에너지
2087,"부동산개발(과,전공,학과)",144,도시.교통,14,건설
2088,부동산개발투자전공,144,도시.교통,14,건설
2089,부동산건설개발학과,144,도시.교통,14,건설
2090,부동산경매중개전공,144,도시.교통,14,건설
2091,"부동산경영(과,전공)",144,도시.교통,14,건설
2092,부동산경영정보공학과,144,도시.교통,14,건설
2093,부동산경영컨설팅과,144,도시.교통,14,건설
2094,부동산경제(학)과,144,도시.교통,14,건설
2096,부동산(학)(과ㆍ부ㆍ전공),142,토목,14,건설
2096,부동산(학)(과ㆍ부ㆍ전공),144,도시.교통,14,건설
2097,부동산관리정보전공,144,도시.교통,14,건설
2098,부동산관리학과,144,도시.교통,14,건설
2099,부동산금융학과,144,도시.교통,14,건설
2100,"식물(학과, 과, 전공)",243,임업,24,농림어업
2101,"부동산세무경영학(과,전공)",144,도시.교통,14,건설
2102,부동산세무과,144,도시.교통,14,건설
2103,부동산세무컨설팅,144,도시.교통,14,건설
2104,"부동산자산경영(학과,전공)",144,도시.교통,14,건설
2105,부동산자산관리전공(트랙),144,도시.교통,14,건설
2106,"부동산재테크(과,전공)",144,도시.교통,14,건설
2108,부동산정보과,144,도시.교통,14,건설
2109,부동산정보부동산정보과,144,도시.교통,14,건설
2110,"부동산지적(과,학과)",142,토목,14,건설
2110,"부동산지적(과,학과)",144,도시.교통,14,건설
2111,"부동산컨설팅(과,전공,학과)",144,도시.교통,14,건설
2112,부동산컨설팅주택관리과,144,도시.교통,14,건설
2114,부동산행정학과,144,도시.교통,14,건설
2115,부동산환경조경학부,143,조경,14,건설
2115,부동산환경조경학부,261,환경,26,환경.에너지
2117,분자·의생명공학(과ㆍ전공),221,식품,22,식품.가공
2117,분자·의생명공학(과ㆍ전공),261,환경,26,환경.에너지
2118,분자과학기술학과,181,화공,18,화학
2118,분자과학기술학과,221,식품,22,식품.가공
2118,분자과학기술학과,241,농업,24,농림어업
2118,분자과학기술학과,261,환경,26,환경.에너지
2119,분자과학부,181,화공,18,화학
2119,분자과학부,221,식품,22,식품.가공
2119,분자과학부,241,농업,24,농림어업
2119,분자과학부,261,환경,26,환경.에너지
2120,분자생물미생물학(과ㆍ전공),181,화공,18,화학
