udeptcd,udeptnm,udeptmdobligcd,udeptmdoblignm,udeptobligcd,udeptoblignm
1055,"건설정보(계열,공학과,공학부,과,전공)",144,도시.교통,14,건설
1055,"건설정보(계열,공학과,공학부,과,전공)",211,정보기술,21,정보통신
1056,건설정보도시건설과,141,건축,14,건설
1056,건설정보도시건설과,142,토목,14,건설
1056,건설정보도시건설과,144,도시.교통,14,건설
1056,건설정보도시건설과,211,정보기술,21,정보통신
1057,건설정보시스템전공,141,건축,14,건설
1057,건설정보시스템전공,142,토목,14,건설
1057,건설정보시스템전공,211,정보기술,21,정보통신
1058,건설조경디자인전공,141,건축,14,건설
1058,건설조경디자인전공,142,토목,14,건설
1058,건설조경디자인전공,143,조경,14,건설
1059,건설지구환경공학부,141,건축,14,건설
1059,건설지구환경공학부,142,토목,14,건설
1059,건설지구환경공학부,261,환경,26,환경.에너지
1060,건설컨설팅전공,141,건축,14,건설
1060,건설컨설팅전공,142,토목,14,건설
1061,건설토목과,141,건축,14,건설
1061,건설토목과,142,토목,14,건설
1061,건설토목과,251,안전관리,25,안전관리
1062,건설토목환경공학과,141,건축,14,건설
1062,건설토목환경공학과,142,토목,14,건설
1062,건설토목환경공학과,261,환경,26,환경.에너지
1063,건설학과,141,건축,14,건설
1063,건설학과,142,토목,14,건설
1064,"건설환경(계열,공학과,공학군,공학부,전공,과)",141,건축,14,건설
1064,"건설환경(계열,공학과,공학군,공학부,전공,과)",142,토목,14,건설
1064,"건설환경(계열,공학과,공학군,공학부,전공,과)",261,환경,26,환경.에너지
1065,건설환경건설공학부,141,건축,14,건설
1065,건설환경건설공학부,142,토목,14,건설
1065,건설환경건설공학부,261,환경,26,환경.에너지
1066,건설환경건축공학부,141,건축,14,건설
1066,건설환경건축공학부,142,토목,14,건설
1066,건설환경건축공학부,144,도시.교통,14,건설
1066,건설환경건축공학부,261,환경,26,환경.에너지
1067,건설환경설계전공,141,건축,14,건설
1067,건설환경설계전공,142,토목,14,건설
1067,건설환경설계전공,261,환경,26,환경.에너지
1068,"건설환경시스템(공학부,공학전공,과,학과)",141,건축,14,건설
1068,"건설환경시스템(공학부,공학전공,과,학과)",142,토목,14,건설
1069,건설환경정보과,141,건축,14,건설
1069,건설환경정보과,142,토목,14,건설
1069,건설환경정보과,211,정보기술,21,정보통신
1069,건설환경정보과,261,환경,26,환경.에너지
1070,건설환경철도공학과,141,건축,14,건설
1070,건설환경철도공학과,142,토목,14,건설
1070,건설환경철도공학과,261,환경,26,환경.에너지
1071,건축·인테리어디자인학과,141,건축,14,건설
1072,건축·토목·환경계열학과군,141,건축,14,건설
1072,건축·토목·환경계열학과군,142,토목,14,건설
1072,건축·토목·환경계열학과군,261,환경,26,환경.에너지
1073,건축·토목설계학부,141,건축,14,건설
1073,건축·토목설계학부,142,토목,14,건설
1074,건축계열,141,건축,14,건설
1074,건축계열,262,에너지.기상,26,환경.에너지
1075,건축계획전공,141,건축,14,건설
1076,"건축공간디자인계열(학과,전공 등)",141,건축,14,건설
1077,건축공학계열,141,건축,14,건설
1077,건축공학계열,262,에너지.기상,26,환경.에너지
1078,건축공학(과ㆍ부ㆍ전공),141,건축,14,건설
1078,건축공학(과ㆍ부ㆍ전공),262,에너지.기상,26,환경.에너지
1079,건축공학교육과,141,건축,14,건설
1080,건축공학리모델링전공,141,건축,14,건설
1082,건축공학ㆍ빌딩시스템공학부,141,건축,14,건설
1083,건축공학ㆍ설비공학부,141,건축,14,건설
1085,건축과,141,건축,14,건설
1085,건축과,262,에너지.기상,26,환경.에너지
1086,건축기계설비공학(과ㆍ전공),141,건축,14,건설
1086,건축기계설비공학(과ㆍ전공),162,기계장비설비.설치,16,기계
1087,건축도시공학부,141,건축,14,건설
1087,건축도시공학부,144,도시.교통,14,건설
1088,건축도시조경학부,141,건축,14,건설
1088,건축도시조경학부,144,도시.교통,14,건설
1089,건축도시토목공학계열,141,건축,14,건설
1089,건축도시토목공학계열,142,토목,14,건설
1089,건축도시토목공학계열,144,도시.교통,14,건설
1090,건축도시토목환경공학부,141,건축,14,건설
1090,건축도시토목환경공학부,142,토목,14,건설
1090,건축도시토목환경공학부,144,도시.교통,14,건설
1090,건축도시토목환경공학부,261,환경,26,환경.에너지
1091,건축디자인(과ㆍ전공),141,건축,14,건설
1093,건축디자인ㆍCAD전공,141,건축,14,건설
1094,"건축리모델링(과,전공)",141,건축,14,건설
1095,건축리모델링인테리어과,141,건축,14,건설
1096,건축메카트로닉스공학과군,141,건축,14,건설
1096,건축메카트로닉스공학과군,162,기계장비설비.설치,16,기계
1097,건축물관리학과,141,건축,14,건설
1097,건축물관리학과,162,기계장비설비.설치,16,기계
1098,"건축사회환경공학(과,부)",141,건축,14,건설
1098,"건축사회환경공학(과,부)",261,환경,26,환경.에너지
1099,건축사회환경시스템공학부,141,건축,14,건설
1099,건축사회환경시스템공학부,261,환경,26,환경.에너지
1100,건축생활디자인계열,141,건축,14,건설
1101,"건축설계학(공학, 과, 전공)",141,건축,14,건설
1102,건축설계/CAD전공,141,건축,14,건설
1103,건축설계기술전공,141,건축,14,건설
1105,"건축설비(공학과,공학전공,과)",141,건축,14,건설
1105,"건축설비(공학과,공학전공,과)",162,기계장비설비.설치,16,기계
1106,건축설비·기계공학부,141,건축,14,건설
1106,건축설비·기계공학부,162,기계장비설비.설치,16,기계
1107,건축설비디자인과,141,건축,14,건설
1107,건축설비디자인과,162,기계장비설비.설치,16,기계
1108,건축설비소방과,141,건축,14,건설
1108,건축설비소방과,162,기계장비설비.설치,16,기계
1108,건축설비소방과,251,안전관리,25,안전관리
1109,건축설비소방안전전공,141,건축,14,건설
1109,건축설비소방안전전공,162,기계장비설비.설치,16,기계
1109,건축설비소방안전전공,251,안전관리,25,안전관리
1110,건축설비시스템공학과,141,건축,14,건설
1110,건축설비시스템공학과,162,기계장비설비.설치,16,기계
1111,건축설비자동화과,141,건축,14,건설
1111,건축설비자동화과,162,기계장비설비.설치,16,기계
1112,"건축설비학(과,전공)",141,건축,14,건설
1112,"건축설비학(과,전공)",162,기계장비설비.설치,16,기계
1113,건축설비환경과,141,건축,14,건설
1113,건축설비환경과,162,기계장비설비.설치,16,기계
1113,건축설비환경과,261,환경,26,환경.에너지
1114,건축소방안전과,141,건축,14,건설
1114,건축소방안전과,251,안전관리,25,안전관리
1115,"건축시공(과,전공)",141,건축,14,건설
1116,건축시스템공학(과ㆍ전공ㆍ부ㆍ계열),141,건축,14,건설
1117,건축시스템공학부,141,건축,14,건설
1118,건축시스템관리과,141,건축,14,건설
1120,건축실내건축학부,141,건축,14,건설
1121,"건축실내디자인(과,전공,학부)",141,건축,14,건설
1122,건축ㆍ건설시스템공학부,141,건축,14,건설
1122,건축ㆍ건설시스템공학부,142,토목,14,건설
1123,건축ㆍ도시공학과군,141,건축,14,건설
1123,건축ㆍ도시공학과군,142,토목,14,건설
1123,건축ㆍ도시공학과군,144,도시.교통,14,건설
1124,건축ㆍ메카트로닉스공학과군,141,건축,14,건설
1124,건축ㆍ메카트로닉스공학과군,162,기계장비설비.설치,16,기계
1125,건축ㆍ실내디자인과,141,건축,14,건설
1126,건축ㆍ인테리어디자인과,141,건축,14,건설
1127,건축ㆍ토목공학교육학과군,141,건축,14,건설
1127,건축ㆍ토목공학교육학과군,142,토목,14,건설
1128,건축ㆍ환경디자인학부,141,건축,14,건설
1128,건축ㆍ환경디자인학부,261,환경,26,환경.에너지
1129,건축안경환경학부,141,건축,14,건설
1129,건축안경환경학부,261,환경,26,환경.에너지
1130,건축엔지니어링전공,141,건축,14,건설
1131,"건축인테리어(계열,과,전공,학부)",141,건축,14,건설
1132,건축인테리어리모델링과,141,건축,14,건설
1133,건축장식과,141,건축,14,건설
1134,건축학(과ㆍ부ㆍ전공),141,건축,14,건설
1134,건축학(과ㆍ부ㆍ전공),262,에너지.기상,26,환경.에너지
1135,건축전기설비과,141,건축,14,건설
1135,건축전기설비과,201,전기,20,전기.전자
1136,건축전기시스템과,141,건축,14,건설
1136,건축전기시스템과,201,전기,20,전기.전자
1137,건축조경토목공학부,141,건축,14,건설
1137,건축조경토목공학부,142,토목,14,건설
1138,건축조경학부,141,건축,14,건설
1138,건축조경학부,143,조경,14,건설
1139,건축조형계열,141,건축,14,건설
1140,건축조형예술계열,141,건축,14,건설
1141,건축컴퓨터공학과군,141,건축,14,건설
1141,건축컴퓨터공학과군,202,전자,20,전기.전자
1142,"건축토목(계열,공학과군,학부,과)",141,건축,14,건설
1142,"건축토목(계열,공학과군,학부,과)",142,토목,14,건설
1143,건축토목도시공학부,141,건축,14,건설
1143,건축토목도시공학부,142,토목,14,건설
1144,건축토목조경학부,141,건축,14,건설
1144,건축토목조경학부,142,토목,14,건설
1144,건축토목조경학부,143,조경,14,건설
1145,"건축토목환경(공학과군,학부)",141,건축,14,건설
1145,"건축토목환경(공학과군,학부)",142,토목,14,건설
1146,건축토털디자인과,141,건축,14,건설
1148,건축화학재료공학계열,141,건축,14,건설
1148,건축화학재료공학계열,181,화공,18,화학
1149,"건축환경(과,학과,학부)",141,건축,14,건설
1149,"건축환경(과,학과,학부)",261,환경,26,환경.에너지
1150,건축환경디자인(과ㆍ학과ㆍ계열),082,디자인,8,문화.예술.디자인.방송
