cert_id,cert_name,canonical_name,normalized_key,aliases,issuer,is_active,cert_type,grade_name,primary_domain,top_domain,domain_name_raw,source,written_avg_pass_rate,practical_avg_pass_rate,avg_pass_rate_3yr
35,건축전기설비기술사,건축전기설비기술사,건축전기설비기술사,,Q-Net,True,국가기술자격,기술사,5,엔지니어링/산업기술,전기,qnet_major_list_2025,2.2666666666666666,46.6,50.27
36,건축시공기술사,건축시공기술사,건축시공기술사,,Q-Net,True,국가기술자격,기술사,10,엔지니어링/산업기술,건축,qnet_major_list_2025,7.166666666666667,50.833333333333336,80.0
37,건축품질시험기술사,건축품질시험기술사,건축품질시험기술사,,Q-Net,True,국가기술자격,기술사,10,엔지니어링/산업기술,건축,qnet_major_list_2025,2.0,100.0,45.37
38,섬유기술사,섬유기술사,섬유기술사,,Q-Net,True,국가기술자격,기술사,32,교육/생활서비스,섬유,qnet_major_list_2025,16.7,50.0,48.27
39,의류기술사,의류기술사,의류기술사,,Q-Net,True,국가기술자격,기술사,32,교육/생활서비스,섬유,qnet_major_list_2025,20.0,42.9,36.95
40,자원관리기술사,자원관리기술사,자원관리기술사,,Q-Net,True,국가기술자격,기술사,39,1차산업/자원,채광,qnet_major_list_2025,30.1,72.33,51.22
41,광해방지기술사,광해방지기술사,광해방지기술사,,Q-Net,True,국가기술자격,기술사,12,엔지니어링/산업기술,광해방지,qnet_major_list_2025,22.23,38.9,85.83
42,화약류관리기술사,화약류관리기술사,화약류관리기술사,,Q-Net,True,국가기술자격,기술사,39,1차산업/자원,채광,qnet_major_list_2025,8.3,0.0,40.95
43,정보관리기술사,정보관리기술사,정보관리기술사,,Q-Net,True,국가기술자격,기술사,2,IT/디지털,정보기술,qnet_major_list_2025,2.333333333333333,61.8,21.45
44,정보통신기술사,정보통신기술사,정보통신기술사,,Q-Net,True,국가기술자격,기술사,4,IT/디지털,통신,qnet_major_list_2025,5.44,52.59,44.23
45,컴퓨터시스템응용기술사,컴퓨터시스템응용기술사,컴퓨터시스템응용기술사,,Q-Net,True,국가기술자격,기술사,2,IT/디지털,정보기술,qnet_major_list_2025,10.35,61.150000000000006,40.13
46,에너지기술사(원자력),에너지기술사(원자력),에너지기술사(원자력),,Q-Net,True,국가기술자격,기술사,9,엔지니어링/산업기술,에너지.기상,qnet_major_list_2025,,,17.8
47,에너지기술사(방사선가공),에너지기술사(방사선가공),에너지기술사(방사선가공),,Q-Net,True,국가기술자격,기술사,9,엔지니어링/산업기술,에너지.기상,qnet_major_list_2025,,,80.77
