jobdicSeq,직업명,학과명,자격증명,자격증ID,jobID
1009,환경위생검사원,"보건환경과, 환경공학과, 환경과학과, 환경보건학과, 환경시스템과",산업위생관리기사,T413,903
1009,환경위생검사원,"보건환경과, 환경공학과, 환경과학과, 환경보건학과, 환경시스템과",산업위생관리기술사,T414,904
1010,방사성폐기물관리원,원자력공학과,원자력발전기술사,T538,905
1010,방사성폐기물관리원,원자력공학과,원자력기사,T537,906
1010,방사성폐기물관리원,원자력공학과,핵연료물질취급자면허,S253,907
1061,국회의원,"경영학과, 경제학과, 국제학부, 법학과, 사회학과, 정치외교학과, 행정학과",,,908
1068,마케팅전문가,"경영학과, 스포츠마케팅학과, 심리학과",,,909
1076,자동차공학기술자,"기계공학과, 자동차공학과, 자동차과",자동차차체수리기능사,T589,910
1076,자동차공학기술자,"기계공학과, 자동차공학과, 자동차과",자동차정비기능사,T585,911
1076,자동차공학기술자,"기계공학과, 자동차공학과, 자동차과",자동차정비산업기사,T588,912
1076,자동차공학기술자,"기계공학과, 자동차공학과, 자동차과",자동차정비기능장,T586,913
1076,자동차공학기술자,"기계공학과, 자동차공학과, 자동차과",자동차정비기사,T587,914
1078,대형트럭 및 특수차운전원,"기계공학과, 기계과, 자동차공학과, 자동차과, 전기공학과, 전기과",,,915
1080,환경공학기술자 및 연구원,"공업화학과, 화학공업과, 환경공업과, 환경공학과, 환경과학과",해양환경기사,T166,916
1080,환경공학기술자 및 연구원,"공업화학과, 화학공업과, 환경공업과, 환경공학과, 환경과학과",대기환경산업기사,T317,917
1080,환경공학기술자 및 연구원,"공업화학과, 화학공업과, 환경공업과, 환경공학과, 환경과학과",대기환경기사,T316,918
1080,환경공학기술자 및 연구원,"공업화학과, 화학공업과, 환경공업과, 환경공학과, 환경과학과",수질환경산업기사,T461,919
1080,환경공학기술자 및 연구원,"공업화학과, 화학공업과, 환경공업과, 환경공학과, 환경과학과",수질환경기사,T460,920
1080,환경공학기술자 및 연구원,"공업화학과, 화학공업과, 환경공업과, 환경공학과, 환경과학과",환경기능사,T186,921
1081,해양공학기술자,"지구해양과학과, 해양공학과, 해양시스템학과, 해양자원학과, 환경공업과, 환경공학과, 환경과학과, 환경화학과",해양환경기사,T166,922
1081,해양공학기술자,"지구해양과학과, 해양공학과, 해양시스템학과, 해양자원학과, 환경공업과, 환경공학과, 환경과학과, 환경화학과",해양기술사,T161,923
1081,해양공학기술자,"지구해양과학과, 해양공학과, 해양시스템학과, 해양자원학과, 환경공업과, 환경공학과, 환경과학과, 환경화학과",해양자원개발기사,T163,924
1081,해양공학기술자,"지구해양과학과, 해양공학과, 해양시스템학과, 해양자원학과, 환경공업과, 환경공학과, 환경과학과, 환경화학과",해양공학기사,T160,925
1081,해양공학기술자,"지구해양과학과, 해양공학과, 해양시스템학과, 해양자원학과, 환경공업과, 환경공학과, 환경과학과, 환경화학과",해양조사산업기사,T165,926
1087,전자 부품 및 제품 생산직,"전기공학과, 전기과, 전기전자공학과, 전자공학과, 전자과",전기산업기사,T609,927
1087,전자 부품 및 제품 생산직,"전기공학과, 전기과, 전기전자공학과, 전자공학과, 전자과",전자기능사,T630,928
1087,전자 부품 및 제품 생산직,"전기공학과, 전기과, 전기전자공학과, 전자공학과, 전자과",전자산업기사,T635,929
1087,전자 부품 및 제품 생산직,"전기공학과, 전기과, 전기전자공학과, 전자공학과, 전자과",전자기사,T632,930
1087,전자 부품 및 제품 생산직,"전기공학과, 전기과, 전기전자공학과, 전자공학과, 전자과",전자기능장,T631,931
1087,전자 부품 및 제품 생산직,"전기공학과, 전기과, 전기전자공학과, 전자공학과, 전자과",전자응용기술사,T639,932
