jobdicSeq,직업명,학과명,자격증명,자격증ID,jobID
443,웹디자이너,"그래픽디자인과, 멀티미디어과, 멀티미디어학과, 산업디자인과, 산업디자인학과, 시각디자인과, 시각디자인학과",컴퓨터그래픽기능사,T082,718
443,웹디자이너,"그래픽디자인과, 멀티미디어과, 멀티미디어학과, 산업디자인과, 산업디자인학과, 시각디자인과, 시각디자인학과",웹디자인개발기능사,T541,719
444,웹마스터,"전기전자공학과, 전자공학과, 컴퓨터공학과",정보처리기능사,T650,720
444,웹마스터,"전기전자공학과, 전자공학과, 컴퓨터공학과",정보처리산업기사,T652,721
444,웹마스터,"전기전자공학과, 전자공학과, 컴퓨터공학과",정보처리기사,T651,722
444,웹마스터,"전기전자공학과, 전자공학과, 컴퓨터공학과",웹디자인개발기능사,T541,723
450,IT컨설턴트,"경영정보과, 경영학과, 스마트정보과, 인터넷정보학과, 정보통신공학과, 정보통신과",정보처리기능사,T650,724
450,IT컨설턴트,"경영정보과, 경영학과, 스마트정보과, 인터넷정보학과, 정보통신공학과, 정보통신과",정보처리산업기사,T652,725
450,IT컨설턴트,"경영정보과, 경영학과, 스마트정보과, 인터넷정보학과, 정보통신공학과, 정보통신과",정보처리기사,T651,726
450,IT컨설턴트,"경영정보과, 경영학과, 스마트정보과, 인터넷정보학과, 정보통신공학과, 정보통신과",정보관리기술사,T647,727
450,IT컨설턴트,"경영정보과, 경영학과, 스마트정보과, 인터넷정보학과, 정보통신공학과, 정보통신과",정보통신산업기사,T656,728
450,IT컨설턴트,"경영정보과, 경영학과, 스마트정보과, 인터넷정보학과, 정보통신공학과, 정보통신과",정보통신기사,T654,729
450,IT컨설턴트,"경영정보과, 경영학과, 스마트정보과, 인터넷정보학과, 정보통신공학과, 정보통신과",정보통신기술사,T655,730
450,IT컨설턴트,"경영정보과, 경영학과, 스마트정보과, 인터넷정보학과, 정보통신공학과, 정보통신과",컴퓨터그래픽기능사,T082,731
452,정보중개인,,인터넷정보관리사 1급,M259,732
452,정보중개인,,인터넷정보관리사 2급,M204,733
452,정보중개인,,인터넷정보관리사 전문가,M260,734
457,컴퓨터게임시나리오작가,"게임콘텐츠과, 국어국문학과, 문예창작과, 문예창작학과",,,735
458,컴퓨터그래픽디자이너,"그래픽디자인과, 디지털디자인과, 컴퓨터디자인학과",컴퓨터그래픽기능사,T082,736
459,속기사,"국어국문학과, 비서행정과, 비서행정학과",한글속기 3급,T142,737
459,속기사,"국어국문학과, 비서행정과, 비서행정학과",한글속기 2급,T141,738
459,속기사,"국어국문학과, 비서행정과, 비서행정학과",한글속기 1급,T140,739
462,사이버교육운영자,"교육공학과, 교육학과",,,740
465,통신망설계운영기술자,"인터넷정보학과, 전자공학과, 정보통신공학과, 컴퓨터공학과, 컴퓨터과학과",통신기기기능사,T659,741
465,통신망설계운영기술자,"인터넷정보학과, 전자공학과, 정보통신공학과, 컴퓨터공학과, 컴퓨터과학과",정보통신산업기사,T656,742
465,통신망설계운영기술자,"인터넷정보학과, 전자공학과, 정보통신공학과, 컴퓨터공학과, 컴퓨터과학과",정보통신기사,T654,743
465,통신망설계운영기술자,"인터넷정보학과, 전자공학과, 정보통신공학과, 컴퓨터공학과, 컴퓨터과학과",정보통신기술사,T655,744
465,통신망설계운영기술자,"인터넷정보학과, 전자공학과, 정보통신공학과, 컴퓨터공학과, 컴퓨터과학과",무선설비기능사,T340,745
465,통신망설계운영기술자,"인터넷정보학과, 전자공학과, 정보통신공학과, 컴퓨터공학과, 컴퓨터과학과",무선설비기사,T341,746
466,컴퓨터설치·수리원,컴퓨터공학과,전자산업기사,T635,747
466,컴퓨터설치·수리원,컴퓨터공학과,전자기사,T632,748
467,의료정보시스템개발자,"의료정보공학과, 의료정보시스템과",,,749
469,고객관리시스템(CRM)전문가,"컴퓨터공학과, 컴퓨터과학과, 통계학과",전자계산기기능사,T624,750
469,고객관리시스템(CRM)전문가,"컴퓨터공학과, 컴퓨터과학과, 통계학과",정보처리기능사,T650,751
469,고객관리시스템(CRM)전문가,"컴퓨터공학과, 컴퓨터과학과, 통계학과",전자계산기기사,T625,752
469,고객관리시스템(CRM)전문가,"컴퓨터공학과, 컴퓨터과학과, 통계학과",정보처리산업기사,T652,753
469,고객관리시스템(CRM)전문가,"컴퓨터공학과, 컴퓨터과학과, 통계학과",컴퓨터시스템응용기술사,T084,754
469,고객관리시스템(CRM)전문가,"컴퓨터공학과, 컴퓨터과학과, 통계학과",정보처리기사,T651,755
469,고객관리시스템(CRM)전문가,"컴퓨터공학과, 컴퓨터과학과, 통계학과",전자계산기조직응용기사,T628,756
469,고객관리시스템(CRM)전문가,"컴퓨터공학과, 컴퓨터과학과, 통계학과",전자계산기제어산업기사,T627,757
470,전자상거래전문가,"마케팅경영과, 정보통신공학과, 정보통신과",전자상거래 관리사,,758
474,아이티(IT)기술영업원,"컴퓨터공학과, 컴퓨터소프트웨어과",,,759
475,아이티(IT)교육강사,"디지털디자인과, 컴퓨터공학과, 컴퓨터교육과, 컴퓨터소프트웨어과",정보처리기능사,T650,760
