ncsID,대직무코드,대직무분류,중직무코드,중직무분류,소직무코드,소직무분류,normalized_key
1,1,사업관리,1,사업관리,1,프로젝트관리,사업관리_사업관리_프로젝트관리
2,1,사업관리,1,사업관리,2,해외관리,사업관리_사업관리_해외관리
3,2,경영.회계.사무,1,기획사무,1,경영기획,경영.회계.사무_기획사무_경영기획
4,2,경영.회계.사무,1,기획사무,2,홍보.광고,경영.회계.사무_기획사무_홍보.광고
5,2,경영.회계.사무,1,기획사무,3,마케팅,경영.회계.사무_기획사무_마케팅
6,2,경영.회계.사무,2,총무.인사,1,총무,경영.회계.사무_총무.인사_총무
7,2,경영.회계.사무,2,총무.인사,2,인사조직,경영.회계.사무_총무.인사_인사조직
8,2,경영.회계.사무,2,총무.인사,3,일반사무,경영.회계.사무_총무.인사_일반사무
9,2,경영.회계.사무,3,재무.회계,1,재무,경영.회계.사무_재무.회계_재무
10,2,경영.회계.사무,3,재무.회계,2,회계,경영.회계.사무_재무.회계_회계
11,2,경영.회계.사무,4,생산.품질관리,1,생산관리,경영.회계.사무_생산.품질관리_생산관리
12,2,경영.회계.사무,4,생산.품질관리,2,품질관리,경영.회계.사무_생산.품질관리_품질관리
13,2,경영.회계.사무,4,생산.품질관리,3,물류무역관리,경영.회계.사무_생산.품질관리_물류무역관리
14,3,금융.보험,1,금융,2,금융상품개발,금융.보험_금융_금융상품개발
15,3,금융.보험,1,금융,3,신용분석,금융.보험_금융_신용분석
16,3,금융.보험,1,금융,4,자산운용,금융.보험_금융_자산운용
17,3,금융.보험,1,금융,5,금융영업지원,금융.보험_금융_금융영업지원
18,3,금융.보험,1,금융,6,중권.외환,금융.보험_금융_중권.외환
19,3,금융.보험,2,보험,1,보험상품개발,금융.보험_보험_보험상품개발
20,3,금융.보험,2,보험,2,보험영업.계약,금융.보험_보험_보험영업.계약
21,3,금융.보험,2,보험,3,손해사정,금융.보험_보험_손해사정
22,4,교육.자연.사회과학,2,평생교육,2,평생교육운영,교육.자연.사회과학_평생교육_평생교육운영
23,4,교육.자연.사회과학,3,직업교육,1,직업교육,교육.자연.사회과학_직업교육_직업교육
24,5,법률.경찰.소방.교도.국방,1,법률,2,지식재산관리,법률.경찰.소방.교도.국방_법률_지식재산관리
25,5,법률.경찰.소방.교도.국방,2,소방방재,1,소방,법률.경찰.소방.교도.국방_소방방재_소방
26,5,법률.경찰.소방.교도.국방,2,소방방재,2,방재,법률.경찰.소방.교도.국방_소방방재_방재
27,5,법률.경찰.소방.교도.국방,2,소방방재,3,스마트재난관리,법률.경찰.소방.교도.국방_소방방재_스마트재난관리
28,6,보건.의료,1,보건,1,의료기술지원,보건.의료_보건_의료기술지원
29,6,보건.의료,1,보건,2,보건지원,보건.의료_보건_보건지원
30,7,사회복지.종교,1,사회복지,2,사회복지서비스,사회복지.종교_사회복지_사회복지서비스
31,7,사회복지.종교,2,상담,1,직업상담서비스,사회복지.종교_상담_직업상담서비스
32,7,사회복지.종교,2,상담,2,청소년지도,사회복지.종교_상담_청소년지도
33,7,사회복지.종교,2,상담,3,심리상담,사회복지.종교_상담_심리상담
34,8,문화.예술.디자인.방송,1,문화.예술,1,문화예술경영,문화.예술.디자인.방송_문화.예술_문화예술경영
35,8,문화.예술.디자인.방송,1,문화.예술,2,실용예술,문화.예술.디자인.방송_문화.예술_실용예술
36,8,문화.예술.디자인.방송,1,문화.예술,3,공연예술,문화.예술.디자인.방송_문화.예술_공연예술
37,8,문화.예술.디자인.방송,1,문화.예술,4,문화재관리,문화.예술.디자인.방송_문화.예술_문화재관리
38,8,문화.예술.디자인.방송,2,디자인,1,디자인,문화.예술.디자인.방송_디자인_디자인
39,8,문화.예술.디자인.방송,3,문화콘텐츠,1,문화콘텐츠기획,문화.예술.디자인.방송_문화콘텐츠_문화콘텐츠기획
40,8,문화.예술.디자인.방송,3,문화콘텐츠,2,문화콘텐츠제작,문화.예술.디자인.방송_문화콘텐츠_문화콘텐츠제작
41,8,문화.예술.디자인.방송,3,문화콘텐츠,3,문화콘텐츠유통.서비스,문화.예술.디자인.방송_문화콘텐츠_문화콘텐츠유통.서비스
42,8,문화.예술.디자인.방송,3,문화콘텐츠,4,영상제작,문화.예술.디자인.방송_문화콘텐츠_영상제작
43,9,운전.운송,1,자동차운전.운송,1,자동차운전.운송,운전.운송_자동차운전.운송_자동차운전.운송
44,9,운전.운송,2,철도운전.운송,1,철도운전운영,운전.운송_철도운전.운송_철도운전운영
45,9,운전.운송,2,철도운전.운송,2,철도시설유지보수,운전.운송_철도운전.운송_철도시설유지보수
46,9,운전.운송,3,선박운전.운송,1,선박운항,운전.운송_선박운전.운송_선박운항
47,9,운전.운송,3,선박운전.운송,2,검수.검량,운전.운송_선박운전.운송_검수.검량
48,9,운전.운송,4,항공운전.운송,1,항공기조종운송,운전.운송_항공운전.운송_항공기조종운송
49,9,운전.운송,4,항공운전.운송,2,항공운항,운전.운송_항공운전.운송_항공운항
50,9,운전.운송,4,항공운전.운송,3,항행안전시설,운전.운송_항공운전.운송_항행안전시설
51,10,영업판매,1,영업,1,일반.해외영업,영업판매_영업_일반.해외영업
52,10,영업판매,2,부동산,1,부동산컨설팅,영업판매_부동산_부동산컨설팅
53,10,영업판매,2,부동산,2,부동산관리,영업판매_부동산_부동산관리
54,10,영업판매,2,부동산,3,부동산중개,영업판매_부동산_부동산중개
55,10,영업판매,2,부동산,4,감정평가,영업판매_부동산_감정평가
56,10,영업판매,3,판매,1,e-비지니스,영업판매_판매_e-비지니스
57,10,영업판매,3,판매,2,일반판매,영업판매_판매_일반판매
58,10,영업판매,3,판매,3,상품중개.경매,영업판매_판매_상품중개.경매
59,11,경비.청소,1,경비,1,경비.경호,경비.청소_경비_경비.경호
60,11,경비.청소,2,청소,1,청소,경비.청소_청소_청소
61,12,이용.숙박.여행.오락.스포츠,1,이용.미용,1,이.미용 서비스,이용.숙박.여행.오락.스포츠_이용.미용_이.미용 서비스
62,12,이용.숙박.여행.오락.스포츠,2,결혼.장례,1,결혼서비스,이용.숙박.여행.오락.스포츠_결혼.장례_결혼서비스
63,12,이용.숙박.여행.오락.스포츠,2,결혼.장례,2,장례서비스,이용.숙박.여행.오락.스포츠_결혼.장례_장례서비스
64,12,이용.숙박.여행.오락.스포츠,3,관광.레저,1,여행서비스,이용.숙박.여행.오락.스포츠_관광.레저_여행서비스
65,12,이용.숙박.여행.오락.스포츠,3,관광.레저,2,숙박서비스,이용.숙박.여행.오락.스포츠_관광.레저_숙박서비스
66,12,이용.숙박.여행.오락.스포츠,3,관광.레저,3,컨벤션,이용.숙박.여행.오락.스포츠_관광.레저_컨벤션
67,12,이용.숙박.여행.오락.스포츠,3,관광.레저,4,관광레저서비스,이용.숙박.여행.오락.스포츠_관광.레저_관광레저서비스
68,12,이용.숙박.여행.오락.스포츠,4,스포츠,1,스포츠용품,이용.숙박.여행.오락.스포츠_스포츠_스포츠용품
69,12,이용.숙박.여행.오락.스포츠,4,스포츠,2,스포츠시설,이용.숙박.여행.오락.스포츠_스포츠_스포츠시설
70,12,이용.숙박.여행.오락.스포츠,4,스포츠,3,스포츠경기.지도,이용.숙박.여행.오락.스포츠_스포츠_스포츠경기.지도
71,12,이용.숙박.여행.오락.스포츠,4,스포츠,4,스포츠마케팅,이용.숙박.여행.오락.스포츠_스포츠_스포츠마케팅
72,12,이용.숙박.여행.오락.스포츠,4,스포츠,5,레크리에이션,이용.숙박.여행.오락.스포츠_스포츠_레크리에이션
73,13,음식서비스,1,식음료조리.서비스,1,음식조리,음식서비스_식음료조리.서비스_음식조리
74,13,음식서비스,1,식음료조리.서비스,2,식음료서비스,음식서비스_식음료조리.서비스_식음료서비스
75,13,음식서비스,1,식음료조리.서비스,3,외식경영,음식서비스_식음료조리.서비스_외식경영
76,14,건설,1,건설공사관리,1,건설시공전관리,건설_건설공사관리_건설시공전관리
77,14,건설,1,건설공사관리,2,건설시공관리,건설_건설공사관리_건설시공관리
78,14,건설,1,건설공사관리,3,건설시공후관리,건설_건설공사관리_건설시공후관리
79,14,건설,1,건설공사관리,4,스마트건설관리,건설_건설공사관리_스마트건설관리
80,14,건설,2,토목,1,토목설계.감리,건설_토목_토목설계.감리
81,14,건설,2,토목,2,토목시공,건설_토목_토목시공
82,14,건설,2,토목,3,측량.지리정보개발,건설_토목_측량.지리정보개발
83,14,건설,3,건축,1,건축설계.감리,건설_건축_건축설계.감리
84,14,건설,3,건축,2,건축시공,건설_건축_건축시공
85,14,건설,4,플랜트,1,플랜트설계.감리,건설_플랜트_플랜트설계.감리
86,14,건설,4,플랜트,2,플랜트시공,건설_플랜트_플랜트시공
87,14,건설,4,플랜트,3,플랜트사업관리,건설_플랜트_플랜트사업관리
88,14,건설,5,조경,1,조경,건설_조경_조경
89,14,건설,6,도시.교통,1,국토.도시계획,건설_도시.교통_국토.도시계획
90,14,건설,6,도시.교통,2,교통계획.설계,건설_도시.교통_교통계획.설계
91,14,건설,6,도시.교통,3,주거서비스,건설_도시.교통_주거서비스
92,14,건설,6,도시.교통,4,지능형교통,건설_도시.교통_지능형교통
93,14,건설,7,건설기계운전.정비,1,토공기계운전,건설_건설기계운전.정비_토공기계운전
94,14,건설,7,건설기계운전.정비,2,기초공건설기계운전,건설_건설기계운전.정비_기초공건설기계운전
95,14,건설,7,건설기계운전.정비,3,콘크리트공기계운전,건설_건설기계운전.정비_콘크리트공기계운전
96,14,건설,7,건설기계운전.정비,4,적재기계운전,건설_건설기계운전.정비_적재기계운전
97,14,건설,7,건설기계운전.정비,5,양중기계운전,건설_건설기계운전.정비_양중기계운전
98,14,건설,7,건설기계운전.정비,6,건설기계정비,건설_건설기계운전.정비_건설기계정비
99,14,건설,8,해양자원,1,해양환경조사,건설_해양자원_해양환경조사
100,14,건설,8,해양자원,2,해양환경관리,건설_해양자원_해양환경관리
101,14,건설,8,해양자원,3,해양플랜트설계.설치.운용,건설_해양자원_해양플랜트설계.설치.운용
102,14,건설,8,해양자원,4,해양자원개발.관리,건설_해양자원_해양자원개발.관리
103,14,건설,8,해양자원,5,잠수,건설_해양자원_잠수
104,15,기계,1,기계설계,1,설계기획,기계_기계설계_설계기획
105,15,기계,1,기계설계,2,기계설계,기계_기계설계_기계설계
106,15,기계,2,기계가공,1,절삭가공,기계_기계가공_절삭가공
107,15,기계,2,기계가공,2,특수가공,기계_기계가공_특수가공
108,15,기계,3,기계조립.관리,1,기계조립,기계_기계조립.관리_기계조립
109,15,기계,3,기계조립.관리,2,기계생산관리,기계_기계조립.관리_기계생산관리
110,15,기계,4,기계품질관리,1,기계품질관리,기계_기계품질관리_기계품질관리
111,15,기계,5,기계장치설치,1,기계장비설치.정비,기계_기계장치설치_기계장비설치.정비
112,15,기계,5,기계장치설치,2,냉동공조설비,기계_기계장치설치_냉동공조설비
113,15,기계,5,기계장치설치,3,이륜차정비,기계_기계장치설치_이륜차정비
114,15,기계,6,자동차,1,자동차설계,기계_자동차_자동차설계
115,15,기계,6,자동차,2,자동차제작,기계_자동차_자동차제작
116,15,기계,6,자동차,3,자동차정비,기계_자동차_자동차정비
117,15,기계,6,자동차,4,자동차정비관리,기계_자동차_자동차정비관리
118,15,기계,6,자동차,5,자동차관리,기계_자동차_자동차관리
119,15,기계,7,철도차량제작,1,철도차량설계.제작,기계_철도차량제작_철도차량설계.제작
120,15,기계,7,철도차량제작,2,철도차량유지보수,기계_철도차량제작_철도차량유지보수
121,15,기계,8,조선,1,선박설계,기계_조선_선박설계
122,15,기계,8,조선,2,선체건조,기계_조선_선체건조
123,15,기계,8,조선,3,선박의장생산,기계_조선_선박의장생산
124,15,기계,8,조선,4,선박품질관리,기계_조선_선박품질관리
125,15,기계,8,조선,5,선박생산관리,기계_조선_선박생산관리
126,15,기계,8,조선,6,시운전,기계_조선_시운전
127,15,기계,8,조선,7,선박장비,기계_조선_선박장비
128,15,기계,8,조선,8,레저선박,기계_조선_레저선박
129,15,기계,9,항공기제작,1,항공기설계,기계_항공기제작_항공기설계
130,15,기계,9,항공기제작,2,항공기제작,기계_항공기제작_항공기제작
131,15,기계,9,항공기제작,3,항공기정비,기계_항공기제작_항공기정비
132,15,기계,9,항공기제작,4,항공장비관리,기계_항공기제작_항공장비관리
133,15,기계,10,금형,1,금형(공통),기계_금형_금형(공통)
134,15,기계,10,금형,2,사출금형,기계_금형_사출금형
135,15,기계,10,금형,3,프레스금형,기계_금형_프레스금형
136,15,기계,10,금형,4,다이캐스팅금형,기계_금형_다이캐스팅금형
137,15,기계,11,스마트공장,1,스마트공장설계,기계_스마트공장_스마트공장설계
138,15,기계,11,스마트공장,2,스마트공장설치,기계_스마트공장_스마트공장설치
139,15,기계,11,스마트공장,3,스마트공장운영관리,기계_스마트공장_스마트공장운영관리
140,16,재료,1,금속재료,1,금속엔지니어링,재료_금속재료_금속엔지니어링
141,16,재료,1,금속재료,2,금속재료제조,재료_금속재료_금속재료제조
142,16,재료,1,금속재료,3,금속가공,재료_금속재료_금속가공
143,16,재료,1,금속재료,4,표면처리,재료_금속재료_표면처리
144,16,재료,1,금속재료,5,용접,재료_금속재료_용접
145,16,재료,1,금속재료,6,비철금속재료제조,재료_금속재료_비철금속재료제조
146,16,재료,2,세라믹재료,1,세라믹재료공통,재료_세라믹재료_세라믹재료공통
147,16,재료,2,세라믹재료,2,소성.소결세라믹제조,재료_세라믹재료_소성.소결세라믹제조
148,16,재료,2,세라믹재료,3,응용세라믹제조,재료_세라믹재료_응용세라믹제조
149,16,재료,2,세라믹재료,4,탄소재료제조,재료_세라믹재료_탄소재료제조
150,17,화학.바이오,1,화학.바이오공통,1,화학물질.품질관리,화학.바이오_화학.바이오공통_화학물질.품질관리
151,17,화학.바이오,1,화학.바이오공통,2,화학공정관리,화학.바이오_화학.바이오공통_화학공정관리
152,17,화학.바이오,1,화학.바이오공통,3,화학제품연구개발,화학.바이오_화학.바이오공통_화학제품연구개발
153,17,화학.바이오,2,석유.기초화학물,1,석유화학공통,화학.바이오_석유.기초화학물_석유화학공통
154,17,화학.바이오,2,석유.기초화학물,2,석유.천연가스,화학.바이오_석유.기초화학물_석유.천연가스
155,17,화학.바이오,2,석유.기초화학물,3,기초유기화학물,화학.바이오_석유.기초화학물_기초유기화학물
156,17,화학.바이오,2,석유.기초화학물,4,기초무기화학물,화학.바이오_석유.기초화학물_기초무기화학물
157,17,화학.바이오,3,정밀화학,1,정밀화학공통,화학.바이오_정밀화학_정밀화학공통
158,17,화학.바이오,3,정밀화학,2,비료.농약,화학.바이오_정밀화학_비료.농약
159,17,화학.바이오,3,정밀화학,3,기능성정밀화학,화학.바이오_정밀화학_기능성정밀화학
160,17,화학.바이오,3,정밀화학,4,의약품,화학.바이오_정밀화학_의약품
161,17,화학.바이오,3,정밀화학,5,화장품,화학.바이오_정밀화학_화장품
162,17,화학.바이오,4,플라스틱.고무,1,플라스틱,화학.바이오_플라스틱.고무_플라스틱
163,17,화학.바이오,4,플라스틱.고무,2,고무,화학.바이오_플라스틱.고무_고무
164,17,화학.바이오,5,바이오,1,바이오의약,화학.바이오_바이오_바이오의약
165,17,화학.바이오,5,바이오,2,바이오화학,화학.바이오_바이오_바이오화학
166,17,화학.바이오,5,바이오,3,바이오기술,화학.바이오_바이오_바이오기술
167,18,섬유.의복,1,섬유제조,1,섬유생산,섬유.의복_섬유제조_섬유생산
168,18,섬유.의복,1,섬유제조,2,섬유가공,섬유.의복_섬유제조_섬유가공
169,18,섬유.의복,1,섬유제조,3,섬유생산관리,섬유.의복_섬유제조_섬유생산관리
170,18,섬유.의복,2,패션,1,패션제품기획,섬유.의복_패션_패션제품기획
171,18,섬유.의복,2,패션,2,패션제품생산,섬유.의복_패션_패션제품생산
172,18,섬유.의복,2,패션,3,패션제품유통,섬유.의복_패션_패션제품유통
173,18,섬유.의복,2,패션,4,신발개발.생산,섬유.의복_패션_신발개발.생산
174,18,섬유.의복,3,의복관리,1,세탁.수선,섬유.의복_의복관리_세탁.수선
175,19,전기.전자,1,전기,1,발전설비설계,전기.전자_전기_발전설비설계
176,19,전기.전자,1,전기,2,발전설비운영,전기.전자_전기_발전설비운영
177,19,전기.전자,1,전기,3,송배전설비,전기.전자_전기_송배전설비
