statisYy,sido,genderNm,grdCd,grdNm,accumAcquCnt,yy1AcquCnt,yy2AcquCnt,yy3AcquCnt,yy4AcquCnt,yy5AcquCnt,yy6AcquCnt
2025,인천,여자,30,기사,14663,14251,111,103,64,79,55
2025,전남,남자,30,기사,38449,35494,702,680,725,520,328
2025,전남,여자,30,기사,9871,9502,86,88,79,76,40
2025,전북,남자,30,기사,37145,35051,435,500,495,388,276
2025,전북,여자,30,기사,9272,8904,83,95,69,75,46
2025,제주,남자,30,기사,11613,11145,119,113,92,92,52
2025,제주,여자,30,기사,2984,2871,28,21,26,22,16
2025,제주특별자치도,남자,30,기사,7,7,0,0,0,0,0
2025,제주특별자치도,여자,30,기사,1,1,0,0,0,0,0
2025,충남,남자,30,기사,39413,37507,393,486,447,380,200
2025,충남,여자,30,기사,8867,8614,76,66,44,39,28
2025,충북,남자,30,기사,33321,32048,295,292,291,259,136
2025,충북,여자,30,기사,8414,8185,48,61,62,37,21
2025,행정구역미상,남자,30,기사,979868,507783,78817,79444,98865,108777,106182
2025,행정구역미상,여자,30,기사,279160,131689,28603,25898,28287,33590,31093
2025,강원,남자,31,산업기사,32686,32078,191,143,119,81,74
2025,강원,여자,31,산업기사,8333,8228,29,22,24,14,16
2025,경기,남자,31,산업기사,263770,260419,923,912,669,438,409
2025,경기,여자,31,산업기사,84111,83389,207,167,158,96,94
2025,경남,남자,31,산업기사,88669,86747,599,503,393,255,172
2025,경남,여자,31,산업기사,26082,25808,73,64,54,38,45
2025,경북,남자,31,산업기사,70135,68191,611,494,379,248,212
2025,경북,여자,31,산업기사,17853,17653,52,48,42,30,28
2025,광주,남자,31,산업기사,51580,50697,266,210,196,115,96
2025,광주,여자,31,산업기사,27151,26967,40,40,45,32,27
2025,대구,남자,31,산업기사,65036,63731,391,356,277,163,118
2025,대구,여자,31,산업기사,22509,22292,63,49,40,42,23
2025,대전,남자,31,산업기사,47095,46446,187,182,124,89,67
2025,대전,여자,31,산업기사,17395,17267,29,37,27,20,15
2025,부산,남자,31,산업기사,83334,81933,456,337,270,172,166
2025,부산,여자,31,산업기사,26418,26203,52,44,61,26,32
2025,서울,남자,31,산업기사,220834,218415,648,610,513,330,318
2025,서울,여자,31,산업기사,79543,78953,169,139,111,101,70
2025,울산,남자,31,산업기사,30391,29337,334,235,221,142,122
2025,울산,여자,31,산업기사,9019,8951,18,15,11,14,10
2025,인천,남자,31,산업기사,66701,65619,294,306,223,133,126
2025,인천,여자,31,산업기사,19134,18941,49,47,40,29,28
2025,전남,남자,31,산업기사,56168,54293,642,482,350,237,164
2025,전남,여자,31,산업기사,18776,18581,65,38,36,31,25
2025,전북,남자,31,산업기사,47630,46537,344,267,227,137,118
2025,전북,여자,31,산업기사,22374,22187,50,47,37,30,23
2025,제주,남자,31,산업기사,13026,12835,47,52,35,25,32
