major_code,major_name,domain_sub_code_raw,domain_sub_name_raw,domain_main_code_raw,domain_main_name_raw,major_id,domain_label_candidate,source
1063,건설학과,141,건축,14,건설,major_qnet_1063,건축,qnet_udept_oblig_list
1064,건설환경(계열·공학과·공학군·공학부·전공·과),141,건축,14,건설,major_qnet_1064,건축,qnet_udept_oblig_list
1065,건설환경건설공학부,141,건축,14,건설,major_qnet_1065,건축,qnet_udept_oblig_list
1066,건설환경건축공학부,141,건축,14,건설,major_qnet_1066,건축,qnet_udept_oblig_list
1067,건설환경설계전공,141,건축,14,건설,major_qnet_1067,건축,qnet_udept_oblig_list
1068,건설환경시스템(공학부·공학전공·과·학과),141,건축,14,건설,major_qnet_1068,건축,qnet_udept_oblig_list
1069,건설환경정보과,141,건축,14,건설,major_qnet_1069,건축,qnet_udept_oblig_list
1070,건설환경철도공학과,141,건축,14,건설,major_qnet_1070,건축,qnet_udept_oblig_list
1071,건축·인테리어디자인학과,141,건축,14,건설,major_qnet_1071,건축,qnet_udept_oblig_list
1072,건축·토목·환경계열학과군,141,건축,14,건설,major_qnet_1072,건축,qnet_udept_oblig_list
1073,건축·토목설계학부,141,건축,14,건설,major_qnet_1073,건축,qnet_udept_oblig_list
1074,건축계열,141,건축,14,건설,major_qnet_1074,건축,qnet_udept_oblig_list
1075,건축계획전공,141,건축,14,건설,major_qnet_1075,건축,qnet_udept_oblig_list
1076,건축공간디자인계열(학과·전공 등),141,건축,14,건설,major_qnet_1076,건축,qnet_udept_oblig_list
1077,건축공학계열,141,건축,14,건설,major_qnet_1077,건축,qnet_udept_oblig_list
1078,건축공학(과·부·전공),141,건축,14,건설,major_qnet_1078,건축,qnet_udept_oblig_list
1079,건축공학교육과,141,건축,14,건설,major_qnet_1079,건축,qnet_udept_oblig_list
1080,건축공학리모델링전공,141,건축,14,건설,major_qnet_1080,건축,qnet_udept_oblig_list
1082,건축공학·빌딩시스템공학부,141,건축,14,건설,major_qnet_1082,건축,qnet_udept_oblig_list
1083,건축공학·설비공학부,141,건축,14,건설,major_qnet_1083,건축,qnet_udept_oblig_list
1085,건축과,141,건축,14,건설,major_qnet_1085,건축,qnet_udept_oblig_list
1086,건축기계설비공학,141,건축,14,건설,major_qnet_1086,건축,qnet_udept_oblig_list
1087,건축도시공학부,141,건축,14,건설,major_qnet_1087,건축,qnet_udept_oblig_list
1088,건축도시조경학부,141,건축,14,건설,major_qnet_1088,건축,qnet_udept_oblig_list
1089,건축도시토목공학계열,141,건축,14,건설,major_qnet_1089,건축,qnet_udept_oblig_list
1090,건축도시토목환경공학부,141,건축,14,건설,major_qnet_1090,건축,qnet_udept_oblig_list
1091,건축디자인,141,건축,14,건설,major_qnet_1091,건축,qnet_udept_oblig_list
1093,건축디자인·CAD전공,141,건축,14,건설,major_qnet_1093,건축,qnet_udept_oblig_list
