대직무코드,대직무분류,중직무코드,중직무분류,소직무코드,소직무분류,학과,직업,직무코드,자격증명,자격증ID,ncsID
1,사업관리,1,사업관리,1,프로젝트관리,"국제지역학,국제학,경영학,경영.경제,경영.사무과,산업공학","광원.채석원 및 석재절단원, 가스.에너지공학 기술자 및 연구원, 토목시공기술자, 건설.채굴 관리자, 산업안전원, 건설.채굴단순종사원, 건설 및 채굴기계운전원, 광산지질조사원, 시추기술자, 경영기획사무원,영업기획.관리.지원사무원,총무사무원",111,컴퓨터활용능력 1급,T088,1
1,사업관리,1,사업관리,1,프로젝트관리,"국제지역학,국제학,경영학,경영.경제,경영.사무과,산업공학","광원.채석원 및 석재절단원, 가스.에너지공학 기술자 및 연구원, 토목시공기술자, 건설.채굴 관리자, 산업안전원, 건설.채굴단순종사원, 건설 및 채굴기계운전원, 광산지질조사원, 시추기술자, 경영기획사무원,영업기획.관리.지원사무원,총무사무원",111,컴퓨터활용능력 2급,T089,2
1,사업관리,1,사업관리,1,프로젝트관리,"국제지역학,국제학,경영학,경영.경제,경영.사무과,산업공학","광원.채석원 및 석재절단원, 가스.에너지공학 기술자 및 연구원, 토목시공기술자, 건설.채굴 관리자, 산업안전원, 건설.채굴단순종사원, 건설 및 채굴기계운전원, 광산지질조사원, 시추기술자, 경영기획사무원,영업기획.관리.지원사무원,총무사무원",111,정보기술프로젝트관리전문가(IT-PMP),M115,3
1,사업관리,1,사업관리,2,해외관리,"경영학, 국제지역학,국제학","경영기획사무원, 광고.홍보.마케팅사무원, 직업상담사",112,직업상담사,T035,4
2,경영.회계.사무,1,기획사무,1,경영기획,경영.경제학,"경영지원사무원, 경영 및 진단 전문가",211,사회조사분석사,T400,5
2,경영.회계.사무,1,기획사무,1,경영기획,경영.경제학,"경영지원사무원, 경영 및 진단 전문가",211,경영지도사,S023,6
2,경영.회계.사무,1,기획사무,2,홍보.광고,"광고.홍보, 경영학,경영.사무","광고.홍보 전문가, 광고.홍보.마케팅 사무원",212,컴퓨터그래픽기능사,T082,7
2,경영.회계.사무,1,기획사무,2,홍보.광고,"광고.홍보, 경영학,경영.사무","광고.홍보 전문가, 광고.홍보.마케팅 사무원",212,광고도장기능사,,8
2,경영.회계.사무,1,기획사무,2,홍보.광고,"광고.홍보, 경영학,경영.사무","광고.홍보 전문가, 광고.홍보.마케팅 사무원",212,경영지도사,S023,9
2,경영.회계.사무,1,기획사무,2,홍보.광고,"광고.홍보, 경영학,경영.사무","광고.홍보 전문가, 광고.홍보.마케팅 사무원",212,옥외광고사,M097,10
2,경영.회계.사무,1,기획사무,3,마케팅,"경영.경제학, 무역.유통학과, 광고.홍보학, 수학.통계학, 사회계열","마케팅.광고.홍보관리자,기획 및 마케팅 사무원, 마케팅조사전문가, 통계사무원, 상품기획전문가, 상품중개인 및 경매자",213,전자상거래운용사,T638,11
2,경영.회계.사무,1,기획사무,3,마케팅,"경영.경제학, 무역.유통학과, 광고.홍보학, 수학.통계학, 사회계열","마케팅.광고.홍보관리자,기획 및 마케팅 사무원, 마케팅조사전문가, 통계사무원, 상품기획전문가, 상품중개인 및 경매자",213,텔레마케팅관리사,T095,12
2,경영.회계.사무,1,기획사무,3,마케팅,"경영.경제학, 무역.유통학과, 광고.홍보학, 수학.통계학, 사회계열","마케팅.광고.홍보관리자,기획 및 마케팅 사무원, 마케팅조사전문가, 통계사무원, 상품기획전문가, 상품중개인 및 경매자",213,전자상거래관리사1급,T636,13
2,경영.회계.사무,1,기획사무,3,마케팅,"경영.경제학, 무역.유통학과, 광고.홍보학, 수학.통계학, 사회계열","마케팅.광고.홍보관리자,기획 및 마케팅 사무원, 마케팅조사전문가, 통계사무원, 상품기획전문가, 상품중개인 및 경매자",213,전자상거래관리사2급,T637,14
2,경영.회계.사무,1,기획사무,3,마케팅,"경영.경제학, 무역.유통학과, 광고.홍보학, 수학.통계학, 사회계열","마케팅.광고.홍보관리자,기획 및 마케팅 사무원, 마케팅조사전문가, 통계사무원, 상품기획전문가, 상품중개인 및 경매자",213,사회조사분석사1급,T400,15
2,경영.회계.사무,1,기획사무,3,마케팅,"경영.경제학, 무역.유통학과, 광고.홍보학, 수학.통계학, 사회계열","마케팅.광고.홍보관리자,기획 및 마케팅 사무원, 마케팅조사전문가, 통계사무원, 상품기획전문가, 상품중개인 및 경매자",213,사회조사분석사2급,T401,16
2,경영.회계.사무,1,기획사무,3,마케팅,"경영.경제학, 무역.유통학과, 광고.홍보학, 수학.통계학, 사회계열","마케팅.광고.홍보관리자,기획 및 마케팅 사무원, 마케팅조사전문가, 통계사무원, 상품기획전문가, 상품중개인 및 경매자",213,빅데이터분석기사,T393,17
2,경영.회계.사무,1,기획사무,3,마케팅,"경영.경제학, 무역.유통학과, 광고.홍보학, 수학.통계학, 사회계열","마케팅.광고.홍보관리자,기획 및 마케팅 사무원, 마케팅조사전문가, 통계사무원, 상품기획전문가, 상품중개인 및 경매자",213,경영지도사,S023,18
2,경영.회계.사무,1,기획사무,3,마케팅,"경영.경제학, 무역.유통학과, 광고.홍보학, 수학.통계학, 사회계열","마케팅.광고.홍보관리자,기획 및 마케팅 사무원, 마케팅조사전문가, 통계사무원, 상품기획전문가, 상품중개인 및 경매자",213,유통관리사,S189,19
2,경영.회계.사무,1,기획사무,3,마케팅,"경영.경제학, 무역.유통학과, 광고.홍보학, 수학.통계학, 사회계열","마케팅.광고.홍보관리자,기획 및 마케팅 사무원, 마케팅조사전문가, 통계사무원, 상품기획전문가, 상품중개인 및 경매자",213,SMAT(서비스경영자격) 1급(컨설턴트),M036,20
2,경영.회계.사무,1,기획사무,3,마케팅,"경영.경제학, 무역.유통학과, 광고.홍보학, 수학.통계학, 사회계열","마케팅.광고.홍보관리자,기획 및 마케팅 사무원, 마케팅조사전문가, 통계사무원, 상품기획전문가, 상품중개인 및 경매자",213,SMAT(서비스경영자격) 2급(관리자),M037,21
2,경영.회계.사무,1,기획사무,3,마케팅,"경영.경제학, 무역.유통학과, 광고.홍보학, 수학.통계학, 사회계열","마케팅.광고.홍보관리자,기획 및 마케팅 사무원, 마케팅조사전문가, 통계사무원, 상품기획전문가, 상품중개인 및 경매자",213,SMAT(서비스경영자격) 3급(실무자),M038,22
