자격증명,자격증ID,자격증_분류,자격증_등급_코드,등급_분류,2022년 1차 응시자 수,2022년 1차 합격률,2022년 2차 응시자수,2022년 2차 합격률,2022년 3차 응시자수,2022년 3차 합격률,2023년 1차 응시자 수,2023년 1차 합격률,2023년 2차 응시자 수,2023년 2차 합격률,2023년 3차 응시자 수,2023년 3차 합격률,2024년 1차 응시자 수,2024년 1차 합격률,2024년 2차 응시자 수,2024년 2차 합격률,2024년 3차 응시자 수,2024년 3차 합격률,검정 횟수,시험종류,필기,실기,면접,총합,난이도,비고,비고2
청소년경제이해력검증시험 주니어 TESAT(테샛) 1급,M159,국가민간자격,1,"공인 S급, 1급, 2급, 3급",126,26.19,,,,,131,16.79,,,,,112,20.54,,,,,3,필기,1,,,1,3,2018-2020합격률,
청소년경제이해력검증시험 주니어 TESAT(테샛) 2급,M160,국가민간자격,1,"공인 S급, 1급, 2급, 3급",126,22.22,,,,,131,32.82,,,,,112,21.43,,,,,3,필기,1,,,1,3,2018-2020합격률,
청소년경제이해력검증시험 주니어 TESAT(테샛) 3급,M161,국가민간자격,1,"공인 S급, 1급, 2급, 3급",126,17.46,,,,,131,22.14,,,,,112,21.43,,,,,3,필기,1,,,1,3,2018-2020합격률,
한국실용글쓰기검정 1급,M162,국가민간자격,2,"부분공인 1급, 2급, 준2급, 3급, 준3급",30193,3,,,,,27964,2,,,,,24454,3,,,,,6,필기,1,,,1,5,,
한국실용글쓰기검정 2급,M163,국가민간자격,2,"부분공인 1급, 2급, 준2급, 3급, 준3급",30193,2.41,,,,,27964,2.76,,,,,24454,2.95,,,,,6,필기,1,,,1,5,,
한국실용글쓰기검정 준2급,M164,국가민간자격,2,"부분공인 1급, 2급, 준2급, 3급, 준3급",30193,16.64,,,,,27964,17.33,,,,,24454,20.39,,,,,6,필기,1,,,1,5,,
한국실용글쓰기검정 3급,M165,국가민간자격,2,"부분공인 1급, 2급, 준2급, 3급, 준3급",30193,31.32,,,,,27964,28.45,,,,,24454,31.12,,,,,6,필기,1,,,1,4,,
한국실용글쓰기검정 준3급,M166,국가민간자격,2,"부분공인 1급, 2급, 준2급, 3급, 준3급",30193,28.49,,,,,27964,30.41,,,,,24454,26.4,,,,,6,필기,1,,,1,4,,
한국한자검정 1급,M167,국가민간자격,2,"부분공인 1급, 2급, 3급, 준3급",,,,,,,,,,,,,,,,,,,4,필기,1,,,1,,2016까지 정보존재,
한국한자검정 2급,M168,국가민간자격,2,"부분공인 1급, 2급, 3급, 준3급",,,,,,,,,,,,,,,,,,,4,필기,1,,,1,,2016까지 정보존재,
한국한자검정 3급,M169,국가민간자격,2,"부분공인 1급, 2급, 3급, 준3급",,,,,,,,,,,,,,,,,,,4,필기,1,,,1,,2016까지 정보존재,
한국한자검정 준3급,M170,국가민간자격,2,"부분공인 1급, 2급, 3급, 준3급",,,,,,,,,,,,,,,,,,,4,필기,1,,,1,,2016까지 정보존재,
한자.한문전문지도사 훈장특급,M171,국가민간자격,1,"공인 훈장특급, 훈장1급, 훈장2급, 지도사1급, 지도사2급, 아동지도사급",13,84.62,,,,,4,0,,,,,5,20,,,,,2,필기,1,,,1,2,,
한자.한문전문지도사 훈장1급,M172,국가민간자격,1,"공인 훈장특급, 훈장1급, 훈장2급, 지도사1급, 지도사2급, 아동지도사급",18,50,,,,,21,66.67,,,,,14,57.14,,,,,2,필기,1,,,1,1,,
한자.한문전문지도사 훈장2급,M173,국가민간자격,1,"공인 훈장특급, 훈장1급, 훈장2급, 지도사1급, 지도사2급, 아동지도사급",26,84.62,,,,,23,73.91,,,,,18,66.67,,,,,2,필기,1,,,1,1,,
한자.한문전문지도사 지도사1급,M174,국가민간자격,1,"공인 훈장특급, 훈장1급, 훈장2급, 지도사1급, 지도사2급, 아동지도사급",37,70.27,,,,,56,76.79,,,,,48,72.92,,,,,4,필기,1,,,1,1,,
한자.한문전문지도사 지도사2급,M175,국가민간자격,1,"공인 훈장특급, 훈장1급, 훈장2급, 지도사1급, 지도사2급, 아동지도사급",56,69.64,,,,,112,83.93,,,,,47,72.34,,,,,4,필기,1,,,1,1,,
한자.한문전문지도사 아동지도사급,M176,국가민간자격,1,"공인 훈장특급, 훈장1급, 훈장2급, 지도사1급, 지도사2급, 아동지도사급",61,88.52,,,,,85,85.88,,,,,106,92.45,,,,,4,필기,1,,,1,1,,
한자.한문지도사 한자.한문특급,M177,국가민간자격,1,"공인 한자.한문특급, 한자.한문1급, 한자.한문2급, 한자.한문3급",26,15.38,,,,,20,15,,,,,15,40,,,,,2,필기,1,,,1,3,,
한자.한문지도사 한자.한문1급,M178,국가민간자격,1,"공인 한자.한문특급, 한자.한문1급, 한자.한문2급, 한자.한문3급",14,42.86,,,,,9,33.33,,,,,6,50,,,,,2,필기,1,,,1,1,,
한자.한문지도사 한자.한문2급,M179,국가민간자격,1,"공인 한자.한문특급, 한자.한문1급, 한자.한문2급, 한자.한문3급",19,52.63,,,,,17,17.65,,,,,11,36.36,,,,,2,필기,1,,,1,2,,
한자.한문지도사 한자.한문3급,M180,국가민간자격,1,"공인 한자.한문특급, 한자.한문1급, 한자.한문2급, 한자.한문3급",18,44.44,,,,,16,37.5,,,,,7,57.14,,,,,2,필기,1,,,1,1,,
한자급수자격검정 사범,M181,국가민간자격,2,"부분공인 사범, 1급, 준1급, 2급, 준2급",33,45.45,,,,,37,54.05,,,,,23,82.61,,,,,4,필기,1,,,1,1,,
한자급수자격검정 1급,M182,국가민간자격,2,"부분공인 사범, 1급, 준1급, 2급, 준2급",306,35.95,,,,,353,34.28,,,,,305,33.44,,,,,4,필기,1,,,1,3,,
한자급수자격검정 준1급,M183,국가민간자격,2,"부분공인 사범, 1급, 준1급, 2급, 준2급",136,52.21,,,,,129,48.06,,,,,128,46.09,,,,,4,필기,1,,,1,2,,
한자급수자격검정 2급,M184,국가민간자격,2,"부분공인 사범, 1급, 준1급, 2급, 준2급",767,44.2,,,,,618,51.62,,,,,526,51.71,,,,,4,필기,1,,,1,2,,
한자급수자격검정 준2급,M185,국가민간자격,2,"부분공인 사범, 1급, 준1급, 2급, 준2급",685,45.11,,,,,714,45.8,,,,,669,47.23,,,,,4,필기,1,,,1,2,,
한자능력급수 특급,M186,국가민간자격,2,"부분공인 특급, 특급II, 1급, 2급, 3급, 3급II",100,16,,,,,138,16.67,,,,,,,,,,,4,필기,1,,,1,4,2023까지 정보존재,
한자능력급수 특급II,M187,국가민간자격,2,"부분공인 특급, 특급II, 1급, 2급, 3급, 3급II",68,14.71,,,,,109,20.18,,,,,,,,,,,4,필기,1,,,1,4,2023까지 정보존재,
한자능력급수 1급,M188,국가민간자격,2,"부분공인 특급, 특급II, 1급, 2급, 3급, 3급II",830,36.14,,,,,794,38.29,,,,,,,,,,,4,필기,1,,,1,3,2023까지 정보존재,
한자능력급수 2급,M189,국가민간자격,2,"부분공인 특급, 특급II, 1급, 2급, 3급, 3급II",919,48.86,,,,,938,37.74,,,,,,,,,,,4,필기,1,,,1,2,2023까지 정보존재,
한자능력급수 3급,M190,국가민간자격,2,"부분공인 특급, 특급II, 1급, 2급, 3급, 3급II",1557,49,,,,,1576,48.22,,,,,,,,,,,4,필기,1,,,1,2,2023까지 정보존재,
한자능력급수 3급II,M191,국가민간자격,2,"부분공인 특급, 특급II, 1급, 2급, 3급, 3급II",769,35.76,,,,,882,31.07,,,,,,,,,,,4,필기,1,,,1,3,2023까지 정보존재,
한자실력급수 사범,M192,국가민간자격,2,"부분공인 사범, 1급, 2급, 3급",123,16.26,,,,,104,16.35,,,,,107,17.76,,,,,4,필기,1,,,1,4,,
한자실력급수 1급,M193,국가민간자격,2,"부분공인 사범, 1급, 2급, 3급",400,32,,,,,398,39.7,,,,,248,35.48,,,,,4,필기,1,,,1,2,,
한자실력급수 2급,M194,국가민간자격,2,"부분공인 사범, 1급, 2급, 3급",830,38.31,,,,,734,51.63,,,,,586,40.27,,,,,4,필기,1,,,1,2,,
한자실력급수 3급,M195,국가민간자격,2,"부분공인 사범, 1급, 2급, 3급",1848,50.92,,,,,1638,48.72,,,,,608,58.88,,,,,4,필기,1,,,1,2,,
한자어능력 1급,M196,국가민간자격,2,"부분공인 1급, 2급, 3급",2,50,,,,,6,66.67,,,,,6,33.33,,,,,4,필기,1,,,1,1,2017-2019합격률,
한자어능력 2급,M197,국가민간자격,2,"부분공인 1급, 2급, 3급",37,59.46,,,,,34,5.88,,,,,3,0,,,,,4,필기,1,,,1,3,2017-2019합격률,
한자어능력 3급,M198,국가민간자격,2,"부분공인 1급, 2급, 3급",39,58.97,,,,,52,59.62,,,,,20,5,,,,,4,필기,1,,,1,2,2017-2019합격률,
행정관리사 1급,M199,국가민간자격,1,"공인 1급, 2급, 3급",20,90,,,,,17,82.35,,,,,19,89.47,,,,,2,필기+실기+보고서(발표),1,1,,2,1,"2020까지 정보존재, 2차시험은 실무(2018-2020합격률로함)",
행정관리사 2급,M200,국가민간자격,1,"공인 1급, 2급, 3급",717,72.8,,,,,724,72.65,,,,,433,87.76,,,,,2,필기+실기+교육,1,1,,2,1,"2020까지 정보존재, 2차시험은 실무(2018-2020합격률로함)",
행정관리사 3급,M201,국가민간자격,1,"공인 1급, 2급, 3급",1762,74.35,,,,,2227,77.14,,,,,1148,81.27,,,,,2,필기+실기+교육,1,1,,2,1,"2020까지 정보존재, 2차시험은 실무(2018-2020합격률로함)",
회계관리 1급,M202,국가민간자격,1,"공인 1급, 2급",3692,36.27,,,,,4747,33.58,,,,,5372,30.7,,,,,8,필기,1,,,1,3,,
회계관리 2급,M203,국가민간자격,1,"공인 1급, 2급",6459,52.1,,,,,8421,50.78,,,,,7784,53.03,,,,,8,필기,1,,,1,2,,
인터넷정보관리사 2급,M204,국가민간자격,1,,76,59.21,,,,,,,,,,,,,,,,,2,필기,1,0,0,1,1,"23,24년도 없음",
정보시스템감사사(CISA),M206,국가민간자격,1,미분류,,,,,,,,,,,,,,,,,,,,,,,,0,,국제공인이며 2019년까지밖에 안나옴(그리고 합격률응시자수 모두 없음),
한국사능력검정시험,M209,국가민간자격,,,,,,,,,,,,,,,,,,,,,4,필기,1,,,1,,점수로 결과 나옴,
외환전문역1종,M210,국가민간자격,,,11223,31.85,,,,,11553,26.02,,,,,12402,27.72,,,,,3,필기,1,,,1,2,,
외환전문역2종,M211,국가민간자격,,,,,,,,,,,,,,,,,,,,,3,필기,1,,,1,,2급은 안나옴,
GTQ1급,M212,국가민간자격,,,45893,61.15,,,,,42980,66.27,,,,,40843,65.83,,,,,12,실기,,1,,1,1,,
GTQ2급,M213,국가민간자격,,,11734,86.2,,,,,12142,85.72,,,,,10874,84.33,,,,,12,실기,,1,,1,1,,
생활체육지도사,M215,국가민간자격,,미분류,1,100,,,,,,,,,,,,,,,,,1,필기+실기+면접 종합형 시험,1,1,1,3,1,"비공인,2017년 합격률만 존재",
가정복지사,M216,국가민간자격,,비공인,,,,,,,,,,,,,,,,,,,,,,,,0,,"비공인,2017년 합격률만 존재",
가정생활교육사,M217,국가민간자격,,비공인,,,,,,,,,,,,,,,,,,,,,,,,0,,"비공인,대학 전공 이수 교육과정 이수를 통해 취득할 수 있는거라 합격률 안나옴",
가족상담사 1급,M218,국가민간자격,,공인,,,,,,,11,81.82,,,,,,,,,,,4,필기+면접,1,0,1,2,1,23년만 존재,
가족상담사 2급,M219,국가민간자격,,공인,,,,,,,23,65.22,,,,,,,,,,,4,필기+면접,1,0,1,2,1,23년만 존재,
논술지도사,M220,국가민간자격,,비공인,,,,,,,,,,,,,,,,,,,,,,,,0,,비공인,합격률X
독서지도사,M221,국가민간자격,,비공인,,,,,,,,,,,,,,,,,,,,,,,,0,,비공인,
레크리에이션지도자,M222,국가민간자격,,비공인,,,,,,,,,,,,,,,,,,,,,,,,0,,비공인,
문화선교사자격증,M223,국가민간자격,,비공인,,,,,,,,,,,,,,,,,,,,,,,,0,,비공인,
문화유산교육전문가,M224,국가민간자격,,비공인,,,,,,,,,,,,,,,,,,,,,,,,0,,비공인,
문서실무사,M225,국가민간자격,,비공인,,,,,,,,,,,,,,,,,,,,,,,,0,,비공인,2019년까지만 존재
문예창작사,M226,국가민간자격,,비공인,,,,,,,,,,,,,,,,,,,,,,,,0,,비공인,
미술심리상담사,M227,국가민간자격,,비공인,,,,,,,,,,,,,,,,,,,,,,,,0,,비공인,
미술치료사,M228,국가민간자격,,비공인,,,,,,,,,,,,,,,,,,,,,,,,0,,비공인,
반려동물관리사,M229,국가민간자격,,비공인,,,,,,,,,,,,,,,,,,,,,,,,0,,비공인,
바리스타,M230,국가민간자격,,비공인,,,,,,,,,,,,,,,,,,,,,,,,0,,비공인,
번역능력인정시험(TCT)1급,M231,국가민간자격,,공인,,,,,,,,,,,,,,,,,,,3,필기,1,,,1,,"영어, 일본어, 중국어(북경어), 독어, 불어, 스페인어, 러시아어, 베트남어",
병원코디네이터,M232,국가민간자격,,비공인,,,,,,,,,,,,,,,,,,,,,,,,0,,비공인,
보조공학사,M233,국가민간자격,,,248,67.3,,,,,330,84.2,,,,,349,83.1,,,,,1,필기,1,,,1,1,,
보험심사평가사 1급,M234,국가민간자격,,"일부 공인, 일부 비공인",146,74.66,,,,,143,72.33,,,,,,,,,,,2,필기+실기,1,1,0,2,1,비공인,
산업보안관리사,M235,국가민간자격,,공인,671,34.43,,,,,1036,28.86,,,,,858,35.78,,,,,2,필기,1,,,1,1,,
생활건강관리사,M236,국가민간자격,,비공인,,,,,,,,,,,,,,,,,,,,,,,,0,,비공인,
소믈리에,M237,국가민간자격,,비공인,,,,,,,,,,,,,,,,,,,,,,,,0,,비공인,
수상인명구조강사,M239,국가민간자격,,비공인,,,,,,,,,,,,,,,,,,,,,,,,0,,비공인,
수상인명구조원,M240,국가민간자격,,공인,,,,,,,,,,,,,,,,,,,,,,,,0,,수상구조사,
스포츠마사지사,M241,국가민간자격,,비공인,,,,,,,,,,,,,,,,,,,,,,,,0,,비공인,
심폐소생술자격증,M242,국가민간자격,,비공인,,,,,,,,,,,,,,,,,,,,,,,,0,,비공인,
아동미술지도사,M243,국가민간자격,,비공인,,,,,,,,,,,,,,,,,,,,,,,,0,,비공인,
아동상담사,M244,국가민간자격,,비공인,,,,,,,,,,,,,,,,,,,,,,,,0,,비공인,
애견미용사,M245,국가민간자격,,비공인,,,,,,,,,,,,,,,,,,,,,,,,0,,비공인,
어린이영어지도사,M246,국가민간자격,,비공인,,,,,,,,,,,,,,,,,,,,,,,,0,,비공인,
언어치료사,M247,국가민간자격,,비공인,,,,,,,,,,,,,,,,,,,,,,,,0,,비공인,
영어번역능력인정,M248,국가민간자격,,비공인,,,,,,,,,,,,,,,,,,,,,,,,0,,비공인,
원예치료사,M251,국가민간자격,,비공식,,,,,,,,,,,,,,,,,,,,,,,,0,,비공인,
유아숲지도사,M252,국가민간자격,,,,,,,,,,,,,,,,,,,,,,,,,,0,,비공인,
유아영어지도사,M253,국가민간자격,,,,,,,,,,,,,,,,,,,,,,,,,,0,,비공인,
유아체육지도자,M254,국가민간자격,,,,,,,,,,,,,,,,,,,,,,,,,,0,,비공인,
의료보험사,M255,국가민간자격,,,,,,,,,,,,,,,,,,,,,,,,,,0,,비공인,
인터넷보안전문가,M256,국가민간자격,,"1급, 2급",,,,,,,,,,,,,,,,,,,,,,,,0,,비공인,
정책분석평가사 2급,M257,국가민간자격,,"1급,2급,3급",91,42.86,,,,,58,93.1,,,,,62,95.16,,,,,2,필기,1,0,0,1,1,2급 3급도 있어서 따로 맨 밑 민간자격에 추가,
정책분석평가사 3급,M258,국가민간자격,,"1급,2급,3급",0,0,,,,,0,0,,,,,0,0,,,,,2,필기,1,0,0,1,1,3급도 있어서 따로 맨 밑 민간자격에 추가+시행을 안한듯 3급은,
인터넷정보관리사 1급,M259,국가민간자격,1,미분류,1,0,,,,,,,,,,,,,,,,,1,필기,1,0,0,1,3,23년 24년 없음,
인터넷정보관리사 전문가,M260,국가민간자격,1,미분류,0,0,,,,,,,,,,,,,,,,,0,필기,1,0,0,1,3,23년 24년 없음,
가족상담사 슈퍼바이저,M261,국가민간자격,,공인,,,,,,,2,100,,,,,,,,,,,2,필기+면접,1,0,1,2,1,23년만 존재,
가족상담사 3급,M262,국가민간자격,,공인,,,,,,,81,98.77,,,,,,,,,,,3,필기+면접,1,0,1,2,1,23년만 존재,
SW테스트전문가(CSTS) 일반,M263,국가민간자격,,,1203,29.76,,,,,1772,37.87,,,,,2056,35.17,,,,,3,필기,1,0,0,1,1,,
SW테스트전문가(CSTS) 고급,M264,국가민간자격,,,29,37.93,,,,,30,46.67,,,,,32,34.38,,,,,3,필기,1,0,0,1,1,,
SW테스트전문가(CSTS) 기본,M265,국가민간자격,,,,,,,,,,,,,,,,,,,,,3,필기,1,0,0,1,,합격률 없음,
번역능력인정시험(TCT) 1급,M266,국가민간자격,,,,,,,,,,,,,,,,,,,,,3,필기,1,0,0,1,,합격률 없음,
번역능력인정시험(TCT) 2급,M267,국가민간자격,,,,,,,,,,,,,,,,,,,,,3,필기,1,0,0,1,,합격률 없음,
번역능력인정시험(TCT) 3급,M268,국가민간자격,,,,,,,,,,,,,,,,,,,,,3,필기,1,0,0,1,,합격률 없음,
국어능력인증시험(ToKL) 1급,M269,국가민간자격,,공인,,,,,,,,,,,,,,,,,,,10,필기,1,0,0,1,,합격률 없음,
국어능력인증시험(ToKL) 2급,M270,국가민간자격,,공인,,,,,,,,,,,,,,,,,,,10,필기,1,0,0,1,,합격률 없음,
국어능력인증시험(ToKL) 3급,M271,국가민간자격,,공인,,,,,,,,,,,,,,,,,,,10,필기,1,0,0,1,,합격률 없음,
국어능력인증시험(ToKL) 4급,M272,국가민간자격,,공인,,,,,,,,,,,,,,,,,,,10,필기,1,0,0,1,,합격률 없음,
국어능력인증시험(ToKL) 5급,M273,국가민간자격,,공인,,,,,,,,,,,,,,,,,,,10,필기,1,0,0,1,,합격률 없음,
e-TestProfessional 1급,M274,국가민간자격,,공인,40441,65.54,,,,,41799,60.99,,,,,25591,67.05,,,,,24,필기,1,0,0,1,1,2018-2020합격률로함,
e-TestProfessional 2급,M275,국가민간자격,,공인,40441,18.23,,,,,41799,18.23,,,,,25591,16.1,,,,,24,필기,1,0,0,1,3,2018-2020합격률로함,
e-TestProfessional 3급,M276,국가민간자격,,공인,40441,7.26,,,,,41799,7.26,,,,,25591,6.65,,,,,24,필기,1,0,0,1,4,2018-2020합격률로함,
e-TestProfessional 4급,M277,국가민간자격,,공인,40441,4.39,,,,,41799,4.39,,,,,25591,4.13,,,,,24,필기,1,0,0,1,4,2018-2020합격률로함,
데이터아키텍처준전문가(DAsP),M278,국가민간자격,2,"공인 전문가, 준전문가",1362,51.69,,,,,1283,30.32,,,,,1781,74.17,,,,,2,필기+실기,1,1,,2,3,총 합격률,
1급 산림치유지도사,S001,국가전문자격,,,382,61,234,92.1,,,401,62.3,250,93.6,,,415,63.5,260,94.1,,,1,필기+면접,1,0,1,2,1,,
2급 산림치유지도사,S002,국가전문자격,,,1124,66.7,750,92.8,,,1180,68.1,786,92.6,,,1235,69,812,93,,,1,필기+면접,1,0,1,2,1,,
가맹거래사,S003,국가전문자격,7,가맹거래사,517,26.88,158,55.69,,,610,33.44,179,45.81,,,548,29.92,183,46.44,,,1,필기+필기,2,,,2,4,2차는 서술형,
가축인공수정사,S006,국가전문자격,,,,,,,,,1226,41,1032,54.3,,,1114,48.5,1008,53.7,,,1,필기+실기,1,1,0,2,3,,
감정사,S007,국가전문자격,64,감정사,234,43.16,127,70.08,,,280,31.79,99,83.83,,,287,32.4,97,83.51,,,1,필기+면접,1,,1,2,4,,
감정평가사,S008,국가전문자격,60,감정평가사,3642,24.08,1803,11.2,,,5515,32.15,2377,8.58,,,5755,23.28,2667,7.31,,,1,필기+필기,2,,,2,5,,
건강가정사,S010,국가전문자격,,,,,,,,,,,,,,,,,,,,,,,,,,0,,"관련학과 졸업 또는 과목 이수,시험 합격률이 없는 ‘이수형 국가자격’",
건강보험사,S011,국가전문자격,,,1815,60.8,,,,,1746,75.4,,,,,1536,88.4,,,,,4,필기,1,0,0,1,1,민간자격증이며 비공인,
건강운동관리사,S012,국가전문자격,,,1604,10.72,419,70.64,312,98.72,1792,30.08,532,21.43,131,99.24,1583,9.98,510,64.9,319,99.37,1,필기+실기+연수,1,1,1,3,4,"실기에 구술면접 포함, 연수까지 진행해야함, 합격률 3차는 연수",
검량사,S014,국가전문자격,63,검량사,163,38.65,73,82.19,,,213,41.78,92,88.04,,,194,40.21,81,82.72,,,1,필기+면접,1,,1,2,4,,
검수사,S015,국가전문자격,62,검수사,389,60.93,217,67.28,,,422,54.27,242,76.85,,,416,44.71,174,75.29,,,1,필기+면접,1,,1,2,4,,
경매사(수산),S016,국가전문자격,46,경매사,72,36.1,,,,,75,36,,,,,73,39.7,,,,,1,필기+면접,1,1,,2,5,면접합격률은안나옴,
경매사(약용),S017,국가전문자격,46,경매사,58,32.8,,,,,59,33.9,,,,,61,31.1,,,,,1,필기+면접,1,,1,2,5,면접합격률은안나옴,
경매사(양곡),S018,국가전문자격,46,경매사,67,26.9,,,,,70,24.3,,,,,62,24.2,,,,,1,필기+면접,1,,1,2,5,면접합격률은안나옴,
경매사(청과),S019,국가전문자격,46,경매사,110,44.5,,,,,115,44.3,,,,,118,46.6,,,,,1,필기+면접,1,,1,2,4,면접합격률은안나옴,
경매사(축산),S020,국가전문자격,46,경매사,53,37.7,,,,,50,42,,,,,52,38.5,,,,,1,필기+면접,1,,1,2,5,면접합격률은안나옴,
경매사(화훼),S021,국가전문자격,46,경매사,61,39.3,,,,,54,38.9,,,,,56,41.1,,,,,1,필기+면접,1,,1,2,5,면접합격률은안나옴,
경영지도사(마케팅),S023,국가전문자격,49,경영지도사,343,30.61,383,22.45,,,402,42.79,403,35.98,,,402,52.73,404,15.84,,,1,필기+필기,2,0,0,2,5,,
경영지도사(생산관리),S024,국가전문자격,49,경영지도사,343,30.61,72,38.88,,,402,42.79,53,16.98,,,402,52.73,53,41.5,,,1,필기+필기,2,0,0,2,4,,
경영지도사(인적자원관리),S025,국가전문자격,49,경영지도사,343,30.61,190,33.68,,,402,42.79,183,23.49,,,402,52.73,216,19.9,,,1,필기+필기,2,0,0,2,4,,
경영지도사(재무관리),S026,국가전문자격,49,경영지도사,343,30.61,262,16.03,,,402,42.79,245,15.91,,,402,52.73,285,10.1,,,1,필기+필기,2,0,0,2,5,,
공인노무사,S028,국가전문자격,5,공인노무사,7002,60.28,5128,10.71,551,100,8611,35.1,4724,8.4,395,100,9602,22.38,3682,8.96,329,100,1,필기+필기+면접,2,,1,3,5,2차-논술형,
공인중개사,S029,국가전문자격,8,공인중개사,176016,19.7,88378,31.6,,,134354,20.4,65705,23.1,,,98483,15,49521,30.9,,,1,필기+필기,2,,,2,5,,
공인회계사,S030,국가전문자격,,,13123,16.9,3719,33.3,,,13733,19.1,4187,26.3,,,14472,20.9,4458,28,,,1,필기+필기,2,,,2,4,,
관광통역안내사(독어),S031,국가전문자격,,미분류,4,75,3,100,,,7,71.42,6,66.66,,,6,100,8,75,,,1,필기+면접,1,,1,2,1,,
관광통역안내사(러시아어),S032,국가전문자격,,미분류,,,,,,,,,,,,,,,,,,,1,필기+면접,1,,1,2,,안나옴,
관광통역안내사(말레이/인도네시아어),S033,국가전문자격,,미분류,,,,,,,,,,,,,,,,,,,1,필기+면접,1,,1,2,,안나옴,
관광통역안내사(베트남어),S034,국가전문자격,,미분류,,,,,,,,,,,,,,,,,,,1,필기+면접,1,,1,2,,안나옴,
관광통역안내사(불어),S035,국가전문자격,,미분류,6,50,4,50,,,8,75,8,75,,,18,61.11,12,50,,,1,필기+면접,1,,1,2,1,,
관광통역안내사(스페인어),S036,국가전문자격,,미분류,5,100,6,83.33,,,19,46.15,16,81.25,,,26,61.53,20,75,,,1,필기+면접,1,,1,2,1,,
관광통역안내사(아랍어),S037,국가전문자격,,미분류,,,,,,,,,,,,,,,,,,,1,필기+면접,1,,1,2,,안나옴,
관광통역안내사(영어),S038,국가전문자격,,미분류,,,,,,,,,,,,,,,,,,,1,필기+면접,1,,1,2,,안나옴,
관광통역안내사(이탈리아어),S039,국가전문자격,,미분류,,,,,,,,,,,,,,,,,,,1,필기+면접,1,,1,2,,안나옴,
관광통역안내사(일본어),S040,국가전문자격,,미분류,,,,,,,,,,,,,,,,,,,1,필기+면접,1,,1,2,,안나옴,
관광통역안내사(중국어),S041,국가전문자격,,미분류,,,,,,,,,,,,,,,,,,,1,필기+면접,1,,1,2,,안나옴,
관광통역안내사(태국어),S042,국가전문자격,,미분류,,,,,,,,,,,,,,,,,,,1,필기+면접,1,,1,2,,안나옴,
관세사,S043,국가전문자격,24,관세사,1798,26.1,778,21.7,,,1635,24.8,649,13.9,,,1499,25.4,607,13.3,,,1,필기+필기,2,,,2,5,2차-논술형,
국가유산수리기능자(가공석공),S044,국가전문자격,43,국가유산수리기능자(24종목),15,80,,,,,11,45.45,,,,,13,69.23,,,,,1,실기+면접,1,1,,2,4,실기랑 면접을 같은날에 같이 보는데에도 따로..?,
국가유산수리기능자(대목수),S045,국가전문자격,43,국가유산수리기능자(24종목),128,42.97,,,,,140,45,,,,,115,37.39,,,,,1,실기+면접,1,1,,2,5,,
국가유산수리기능자(도금공),S046,국가전문자격,43,국가유산수리기능자(24종목),12,83.33,,,,,19,84.21,,,,,30,36.67,,,,,1,실기+면접,1,1,,2,4,,
국가유산수리기능자(드잡이공),S047,국가전문자격,43,국가유산수리기능자(24종목),20,75,,,,,27,55.56,,,,,35,48.57,,,,,1,실기+면접,1,1,,2,5,,
국가유산수리기능자(모사공),S048,국가전문자격,43,국가유산수리기능자(24종목),133,26.32,,,,,150,16.67,,,,,150,12.67,,,,,1,실기+면접,1,1,,2,5,,
국가유산수리기능자(목조각공),S049,국가전문자격,43,국가유산수리기능자(24종목),9,44.44,,,,,13,76.92,,,,,11,54.55,,,,,1,실기+면접,1,1,,2,5,,
국가유산수리기능자(박제및표본제작공),S050,국가전문자격,43,국가유산수리기능자(24종목),5,40,,,,,6,16.67,,,,,7,14.29,,,,,1,실기+면접,1,1,,2,5,,
국가유산수리기능자(번와와공),S051,국가전문자격,43,국가유산수리기능자(24종목),38,42.11,,,,,42,33.33,,,,,62,62.9,,,,,1,실기+면접,1,1,,2,5,,
국가유산수리기능자(보존처리공),S052,국가전문자격,43,국가유산수리기능자(24종목),258,26.36,,,,,297,30.98,,,,,288,38.54,,,,,1,실기+면접,1,1,,2,5,,
국가유산수리기능자(석조각공),S053,국가전문자격,43,국가유산수리기능자(24종목),5,60,,,,,8,62.5,,,,,3,66.67,,,,,1,실기+면접,1,1,,2,4,,
국가유산수리기능자(세척공),S054,국가전문자격,43,국가유산수리기능자(24종목),108,43.52,,,,,107,42.06,,,,,158,45.57,,,,,1,실기+면접,1,1,,2,5,,
국가유산수리기능자(소목수),S055,국가전문자격,43,국가유산수리기능자(24종목),48,37.5,,,,,60,33.33,,,,,83,34.94,,,,,1,실기+면접,1,1,,2,5,,
국가유산수리기능자(식물보호공),S056,국가전문자격,43,국가유산수리기능자(24종목),120,27.5,,,,,139,28.06,,,,,116,33.62,,,,,1,실기+면접,1,1,,2,5,,
국가유산수리기능자(실측설계사보),S057,국가전문자격,43,국가유산수리기능자(24종목),78,51.28,,,,,95,53.68,,,,,96,57.29,,,,,1,실기+면접,1,1,,2,5,,
국가유산수리기능자(쌓기석공),S058,국가전문자격,43,국가유산수리기능자(24종목),66,50,,,,,59,28.81,,,,,71,33.8,,,,,1,실기+면접,1,1,,2,5,,
국가유산수리기능자(온돌공),S059,국가전문자격,43,국가유산수리기능자(24종목),51,52.94,,,,,53,50.94,,,,,36,36.11,,,,,1,실기+면접,1,1,,2,5,,
