cert_id,cert_name,canonical_name,normalized_key,aliases,issuer,is_active,cert_type,grade_name,primary_domain,top_domain,domain_name_raw,source,written_avg_pass_rate,practical_avg_pass_rate,avg_pass_rate_3yr,cert_grade_tier,exam_difficulty,exam_type_info,exam_pass_rate,exam_frequency,exam_subject_info,exam_fee_info,exam_eligibility_info
cert_0021,토목구조기술사,토목구조기술사,토목구조기술사,,Q-Net,True,국가기술자격,기술사,11,엔지니어링/산업기술,토목,qnet_major_list_2025,5.466666666666666,70.63333333333334,67.03,4_기술사,5.0,필기+실기,최근 평균 합격률(종합): 34.6%,연 3회,필기 + 실기,,
cert_0022,항만및해안기술사,항만및해안기술사,항만및해안기술사,,Q-Net,True,국가기술자격,기술사,11,엔지니어링/산업기술,토목,qnet_major_list_2025,6.3,66.7,25.3,4_기술사,4.0,필기+실기,최근 평균 합격률(종합): 46.6%,연 1회,필기 + 실기,,
cert_0023,도로및공항기술사,도로및공항기술사,도로및공항기술사,,Q-Net,True,국가기술자격,기술사,11,엔지니어링/산업기술,토목,qnet_major_list_2025,6.3,57.13333333333333,62.7,4_기술사,5.0,필기+실기+면접,최근 평균 합격률(종합): 43.6%,연 3회,필기 + 실기 + 면접,,
cert_0024,철도기술사,철도기술사,철도기술사,,Q-Net,True,국가기술자격,기술사,11,엔지니어링/산업기술,토목,qnet_major_list_2025,6.933333333333333,96.3,14.3,4_기술사,4.0,필기+실기,최근 평균 합격률(종합): 46.7%,연 3회,필기 + 실기,,
cert_0025,철도차량기술사,철도차량기술사,철도차량기술사,,Q-Net,True,국가기술자격,기술사,40,모빌리티/운송,철도,qnet_major_list_2025,30.65,63.35,42.1,4_기술사,4.0,필기+실기,최근 평균 합격률(종합): 41.9%,연 2회,필기 + 실기,,
cert_0026,전기철도기술사,전기철도기술사,전기철도기술사,,Q-Net,True,국가기술자격,기술사,5,엔지니어링/산업기술,전기,qnet_major_list_2025,8.5,50.0,17.77,4_기술사,5.0,필기+실기+면접,최근 평균 합격률(종합): 40.0%,연 2회,필기 + 실기 + 면접,,
cert_0027,수자원개발기술사,수자원개발기술사,수자원개발기술사,,Q-Net,True,국가기술자격,기술사,11,엔지니어링/산업기술,토목,qnet_major_list_2025,8.299999999999999,51.45,42.83,4_기술사,4.0,필기+실기,최근 평균 합격률(종합): 44.7%,연 2회,필기 + 실기,,
cert_0028,상하수도기술사,상하수도기술사,상하수도기술사,,Q-Net,True,국가기술자격,기술사,11,엔지니어링/산업기술,토목,qnet_major_list_2025,4.866666666666667,44.36666666666667,30.6,4_기술사,5.0,필기+실기+면접,최근 평균 합격률(종합): 28.7%,연 3회,필기 + 실기 + 면접,,
cert_0029,농어업토목기술사,농어업토목기술사,농어업토목기술사,,Q-Net,True,국가기술자격,기술사,11,엔지니어링/산업기술,토목,qnet_major_list_2025,24.05,62.25,46.15,4_기술사,5.0,필기+실기+면접,최근 평균 합격률(종합): 46.1%,연 2회,필기 + 실기 + 면접,,
cert_0030,토목시공기술사,토목시공기술사,토목시공기술사,,Q-Net,True,국가기술자격,기술사,11,엔지니어링/산업기술,토목,qnet_major_list_2025,7.6,64.53333333333333,59.63,4_기술사,5.0,필기+실기,최근 평균 합격률(종합): 37.2%,연 3회,필기 + 실기,,
