major_id,major_name,normalized_key,source_id,is_active
major_qnet_1001,3D모델링/설계,3d모델링설계,qnet_udept_oblig_list,True
major_qnet_1002,3D애니메이션,3d애니메이션,qnet_udept_oblig_list,True
major_qnet_1003,특수영상디자인,특수영상디자인,qnet_udept_oblig_list,True
major_qnet_1004,가공식품학과,가공식품학과,qnet_udept_oblig_list,True
major_qnet_1005,가공학과,가공학과,qnet_udept_oblig_list,True
major_qnet_1006,"가구디자인(과,전공,학과)",가구디자인과전공학과,qnet_udept_oblig_list,True
major_qnet_1007,가구실내디자인과,가구실내디자인과,qnet_udept_oblig_list,True
major_qnet_1008,가구ㆍ제품디자인전공,가구제품디자인전공,qnet_udept_oblig_list,True
major_qnet_1009,가구전공,가구전공,qnet_udept_oblig_list,True
major_qnet_1010,가정관리·의류학과군,가정관리의류학과군,qnet_udept_oblig_list,True
major_qnet_1011,가정관리학과,가정관리학과,qnet_udept_oblig_list,True
major_qnet_1012,가정주거학과,가정주거학과,qnet_udept_oblig_list,True
major_qnet_1013,가족주거학전공,가족주거학전공,qnet_udept_oblig_list,True
major_qnet_1014,감성섬유·의류마케팅계열,감성섬유의류마케팅계열,qnet_udept_oblig_list,True
major_qnet_1015,감성섬유패션전공,감성섬유패션전공,qnet_udept_oblig_list,True
major_qnet_1016,감성정보계열,감성정보계열,qnet_udept_oblig_list,True
major_qnet_1017,건강관리학과,건강관리학과,qnet_udept_oblig_list,True
major_qnet_1018,건강기능식품학과,건강기능식품학과,qnet_udept_oblig_list,True
major_qnet_1019,건강다이어트(학)과,건강다이어트학과,qnet_udept_oblig_list,True
major_qnet_1020,건강생명정보학부,건강생명정보학부,qnet_udept_oblig_list,True
major_qnet_1021,건강스포츠학과,건강스포츠학과,qnet_udept_oblig_list,True
major_qnet_1022,건강식품가공과,건강식품가공과,qnet_udept_oblig_list,True
major_qnet_1023,건강식품개발과,건강식품개발과,qnet_udept_oblig_list,True
major_qnet_1024,건강식품과학과,건강식품과학과,qnet_udept_oblig_list,True
major_qnet_1025,건강ㆍ영양조리학과,건강영양조리학과,qnet_udept_oblig_list,True
major_qnet_1026,건강자원개발과,건강자원개발과,qnet_udept_oblig_list,True
major_qnet_1027,건물관리과,건물관리과,qnet_udept_oblig_list,True
major_qnet_1028,건설·건축계열,건설건축계열,qnet_udept_oblig_list,True
major_qnet_1029,건설·응용화학공학계열,건설응용화학공학계열,qnet_udept_oblig_list,True
major_qnet_1030,건설·환경·화학공학과군,건설환경화학공학과군,qnet_udept_oblig_list,True
major_qnet_1031,건설계열건설전공,건설계열건설전공,qnet_udept_oblig_list,True
major_qnet_1032,건설계열학과군,건설계열학과군,qnet_udept_oblig_list,True
major_qnet_1033,건설공간디자인과,건설공간디자인과,qnet_udept_oblig_list,True
major_qnet_1034,"건설공학(과,과군,학부,전공,계열)",건설공학과과군학부전공계열,qnet_udept_oblig_list,True
major_qnet_1035,건설관리계열,건설관리계열,qnet_udept_oblig_list,True
major_qnet_1036,건설관리시스템전공,건설관리시스템전공,qnet_udept_oblig_list,True
major_qnet_1037,"건설교통공학(계열,과,부)",건설교통공학계열과부,qnet_udept_oblig_list,True
major_qnet_1038,건설교통과,건설교통과,qnet_udept_oblig_list,True
major_qnet_1039,건설교통정보과,건설교통정보과,qnet_udept_oblig_list,True
major_qnet_1040,건설기계전공,건설기계전공,qnet_udept_oblig_list,True
major_qnet_1041,건설농업기계전공,건설농업기계전공,qnet_udept_oblig_list,True
major_qnet_1042,"건설도시공학(과,부,학부)",건설도시공학과부학부,qnet_udept_oblig_list,True
major_qnet_1043,건설도시환경공학부,건설도시환경공학부,qnet_udept_oblig_list,True
major_qnet_1044,건설디자인계열,건설디자인계열,qnet_udept_oblig_list,True
major_qnet_1045,건설리모델링과,건설리모델링과,qnet_udept_oblig_list,True
major_qnet_1046,건설산업과,건설산업과,qnet_udept_oblig_list,True
major_qnet_1047,건설산업기계전공,건설산업기계전공,qnet_udept_oblig_list,True
major_qnet_1048,건설시공감리전공,건설시공감리전공,qnet_udept_oblig_list,True
major_qnet_1049,건설시공전공,건설시공전공,qnet_udept_oblig_list,True
major_qnet_1050,"건설시스템(과,공학과,공학부,공학전공,전공)",건설시스템과공학과공학부공학전공전공,qnet_udept_oblig_list,True
major_qnet_1051,건설안전,건설안전,qnet_udept_oblig_list,True
major_qnet_1052,건설안전시스템과,건설안전시스템과,qnet_udept_oblig_list,True
major_qnet_1053,건설재료공학과,건설재료공학과,qnet_udept_oblig_list,True
major_qnet_1054,건설전공,건설전공,qnet_udept_oblig_list,True
major_qnet_1055,"건설정보(계열,공학과,공학부,과,전공)",건설정보계열공학과공학부과전공,qnet_udept_oblig_list,True
major_qnet_1056,건설정보도시건설과,건설정보도시건설과,qnet_udept_oblig_list,True
major_qnet_1057,건설정보시스템전공,건설정보시스템전공,qnet_udept_oblig_list,True
major_qnet_1058,건설조경디자인전공,건설조경디자인전공,qnet_udept_oblig_list,True
major_qnet_1059,건설지구환경공학부,건설지구환경공학부,qnet_udept_oblig_list,True
major_qnet_1060,건설컨설팅전공,건설컨설팅전공,qnet_udept_oblig_list,True
major_qnet_1061,건설토목과,건설토목과,qnet_udept_oblig_list,True
major_qnet_1062,건설토목환경공학과,건설토목환경공학과,qnet_udept_oblig_list,True
major_qnet_1063,건설학과,건설학과,qnet_udept_oblig_list,True
major_qnet_1064,"건설환경(계열,공학과,공학군,공학부,전공,과)",건설환경계열공학과공학군공학부전공과,qnet_udept_oblig_list,True
major_qnet_1065,건설환경건설공학부,건설환경건설공학부,qnet_udept_oblig_list,True
major_qnet_1066,건설환경건축공학부,건설환경건축공학부,qnet_udept_oblig_list,True
major_qnet_1067,건설환경설계전공,건설환경설계전공,qnet_udept_oblig_list,True
major_qnet_1068,"건설환경시스템(공학부,공학전공,과,학과)",건설환경시스템공학부공학전공과학과,qnet_udept_oblig_list,True
major_qnet_1069,건설환경정보과,건설환경정보과,qnet_udept_oblig_list,True
major_qnet_1070,건설환경철도공학과,건설환경철도공학과,qnet_udept_oblig_list,True
major_qnet_1071,건축·인테리어디자인학과,건축인테리어디자인학과,qnet_udept_oblig_list,True
major_qnet_1072,건축·토목·환경계열학과군,건축토목환경계열학과군,qnet_udept_oblig_list,True
major_qnet_1073,건축·토목설계학부,건축토목설계학부,qnet_udept_oblig_list,True
major_qnet_1074,건축계열,건축계열,qnet_udept_oblig_list,True
major_qnet_1075,건축계획전공,건축계획전공,qnet_udept_oblig_list,True
major_qnet_1076,"건축공간디자인계열(학과,전공 등)",건축공간디자인계열학과전공등,qnet_udept_oblig_list,True
