cert_id,alias
M003,관리사
M019,포토샵자격증
M019,그래픽기술자격 일러스트
M020,포토샵자격증
M020,그래픽기술자격 일러스트
M021,포토샵자격증
M021,그래픽기술자격 일러스트
M022,인터넷윤리자격
M023,인터넷윤리자격
M024,인터넷윤리자격
M036,서비스경영자격
M037,서비스경영자격
M038,서비스경영자격
M039,SQLP
M040,SQLD
M047,CIFS
M052,ADP
M052,데이터분석전문가
M053,ADsP
M053,데이터분석준전문가
M054,DAP
M056,DIAT
M057,DIAT
M058,DIAT
M082,C-SAM
M090,CRA
M103,FP
M112,ITQ
M113,ITQ
M114,ITQ
M115,IT-PMP
M119,재무설계사
M131,SMP
M132,SMP
M142,TCT
M144,TCT
M158,테샛
M159,테샛
M160,테샛
M161,테샛
M206,CISA
M209,한능검
M212,포토샵자격증
M213,포토샵자격증
M231,TCT
M263,CSTS
M264,CSTS
M265,CSTS
M266,TCT
M267,TCT
M268,TCT
M269,ToKL
M270,ToKL
M271,ToKL
M272,ToKL
M273,ToKL
M278,DAsP
S016,수산
S017,약용
S018,양곡
S019,청과
S020,축산
S021,화훼
S023,마케팅
S024,생산관리
S025,인적자원관리
S026,재무관리
S031,독어
S032,러시아어
S033,말레이/인도네시아어
S034,베트남어
S035,불어
S036,스페인어
S037,아랍어
S038,영어
S039,이탈리아어
S040,일본어
S041,중국어
S042,태국어
S044,가공석공
S045,대목수
S046,도금공
S047,드잡이공
S048,모사공
S049,목조각공
S050,박제및표본제작공
S051,번와와공
S052,보존처리공
S053,석조각공
S054,세척공
S055,소목수
S056,식물보호공
S057,실측설계사보
S058,쌓기석공
S059,온돌공
S060,제작와공
S061,조경공
S062,철물공
S063,칠공
S064,표구공
S065,한식미장공
S066,화공
S067,훈증공
S068,단청
S069,보수
S070,보존과학
S071,식물보호
S072,실측설계
S074,조경
S088,기술혁신관리
S091,정보기술관리
S104,무대기계
S105,무대기계
S106,무대기계
S107,무대음향
S108,무대음향
S109,무대음향
S110,무대조명
S111,무대조명
S112,무대조명
S141,산업위생공학
S144,직업환경의학
S146,건설안전
S148,기계안전
S150,전기안전
S152,화공안전
S165,신체
S166,재물
S167,차량
S206,1·2종
S225,전신
S226,전화
S294,무기체계
S295,정보체계
S334,도로
S335,철도
S336,항공
S337,항만
S338,삭도
T088,컴활 1급
T089,컴활 2급
T343,네일
T344,메이크업
T345,일반
T346,피부
T419,동물
T420,식물
T439,기계분야
T441,전기분야
T442,기계분야
T443,전기분야
T493,태양광
T494,태양광
T496,태양광
T521,날염
T522,침염
T650,정처기능
T651,정처기
T652,정처산기
cert_qnet_500,건축설비
cert_qnet_630,원자력
cert_qnet_640,방사선가공
cert_qnet_871,정밀측정
cert_qnet_1114,태양광
cert_qnet_1320,정처기
cert_qnet_1616,전자기침투
cert_qnet_1900,기계분야
cert_qnet_1910,전기분야
cert_qnet_1988,식물
cert_qnet_1989,동물
cert_qnet_2114,태양광
cert_qnet_2290,정처산기
cert_qnet_2900,기계분야
cert_qnet_2910,전기분야
cert_qnet_4134,다듬질
cert_qnet_7114,태양광
cert_qnet_7301,침염
cert_qnet_7302,날염
cert_qnet_7801,수편물
cert_qnet_7802,기계편물
cert_qnet_7811,수자수
cert_qnet_7812,기계자수
cert_qnet_7937,일반
cert_qnet_7947,피부
cert_qnet_7957,네일
cert_qnet_7967,메이크업
