var,section,category,pct_iso,pct_gen,diff,h,ni,ng
B7,【B7】 평소 식사 횟수,거의 먹지 않음,2.1,0.3,1.8,0.182,486,5027
B7,【B7】 평소 식사 횟수,기타(기입:  [TEXT_1] ),1.2,0.0,1.2,0.194,486,5027
B8,【B8】 평소 식사 방식,혼자서 직접 차려 먹는다,47.3,38.1,9.2,0.186,486,5027
B8,【B8】 평소 식사 방식,혼자서 배달시켜 먹는다,18.1,14.0,4.1,0.111,486,5027
B8,【B8】 평소 식사 방식,가족이 식탁에 차려 놓으면 혼자 먹는다,11.3,12.5,-1.2,0.037,486,5027
B8,【B8】 평소 식사 방식,가족과 같이 식사한다,21.4,34.6,-13.2,0.295,486,5027
B8,【B8】 평소 식사 방식,가족이 식사를 차려서 방 앞에 두거나 방에 넣어 준다,1.9,0.8,1.1,0.097,486,5027
B9,【B9_1】 자기관리 및 청결 ▶옷을 갈아입는다,한 달에한 번,2.1,0.6,1.5,0.136,486,5027
B9,【B9_1】 자기관리 및 청결 ▶옷을 갈아입는다,2~3주에한 번,4.1,2.1,2.0,0.12,486,5027
B9,【B9_1】 자기관리 및 청결 ▶옷을 갈아입는다,일주일에한 번,11.1,9.1,2.0,0.067,486,5027
B9,【B9_1】 자기관리 및 청결 ▶옷을 갈아입는다,2~3일에한 번,37.9,17.4,20.5,0.465,486,5027
B9,【B9_1】 자기관리 및 청결 ▶옷을 갈아입는다,매일,44.9,70.9,-26.0,0.534,486,5027
B9,【B9_2】 자기관리 및 청결 ▶목욕/샤워를 한다,한 달에한 번,2.1,0.3,1.8,0.186,486,5027
B9,【B9_2】 자기관리 및 청결 ▶목욕/샤워를 한다,2~3주에한 번,3.3,3.2,0.1,0.004,486,5027
B9,【B9_2】 자기관리 및 청결 ▶목욕/샤워를 한다,일주일에한 번,8.8,8.0,0.9,0.031,486,5027
B9,【B9_2】 자기관리 및 청결 ▶목욕/샤워를 한다,2~3일에한 번,37.7,19.2,18.5,0.414,486,5027
B9,【B9_2】 자기관리 및 청결 ▶목욕/샤워를 한다,매일,48.1,69.3,-21.2,0.434,486,5027
B9,【B9_3】 자기관리 및 청결 ▶세수/양치를 한다,한 달에한 번,1.6,0.4,1.3,0.134,486,5027
B9,【B9_3】 자기관리 및 청결 ▶세수/양치를 한다,2~3주에한 번,1.4,2.0,-0.6,0.045,486,5027
B9,【B9_3】 자기관리 및 청결 ▶세수/양치를 한다,일주일에한 번,3.5,7.3,-3.8,0.169,486,5027
B9,【B9_3】 자기관리 및 청결 ▶세수/양치를 한다,2~3일에한 번,10.3,7.1,3.2,0.113,486,5027
B9,【B9_3】 자기관리 및 청결 ▶세수/양치를 한다,매일,83.1,83.2,-0.1,0.002,486,5027
B9,【B9_4】 자기관리 및 청결 ▶내 방의 어질러진 물건들을 정리 정돈한다,한 달에한 번,18.3,4.2,14.1,0.471,486,5027
B9,【B9_4】 자기관리 및 청결 ▶내 방의 어질러진 물건들을 정리 정돈한다,2~3주에한 번,11.9,6.4,5.6,0.195,486,5027
B9,【B9_4】 자기관리 및 청결 ▶내 방의 어질러진 물건들을 정리 정돈한다,일주일에한 번,20.8,22.5,-1.7,0.041,486,5027
B9,【B9_4】 자기관리 및 청결 ▶내 방의 어질러진 물건들을 정리 정돈한다,2~3일에한 번,23.0,31.5,-8.5,0.191,486,5027
B9,【B9_4】 자기관리 및 청결 ▶내 방의 어질러진 물건들을 정리 정돈한다,매일,25.9,35.4,-9.5,0.207,486,5027
