section,category,pct_isolated,pct_general,n_iso,n_gen,chi2,p_value,cohen_h,diff_pct,significant
【A16_1 TO A16_11】 고립/은둔 계기,"심리적 또는 정신적인 어려움(우울, 불안, 공황, 대인기피, 조현병 등) 때문에",40.947,12.135,486,5027,293.8089,0.0,0.6771,28.812,True
【B10】 주관적 건강상태,Top2(④+⑤),15.844,46.23,486,5027,166.4445,0.0,0.6766,-30.386,True
"【A13_4】 물리적 고립▶이외 직장, 학교, 동네에서 알고 지내는 사람들과 대면 교류(업무 상 교류 제외)",일주일에한두 번,3.498,25.164,486,5027,116.5645,0.0,0.6747,-21.666,True
"【B12_1】 우울 척도▶기분이 가라앉거나, 우울하거나, 희망이 없다고 느꼈다.",없음,22.222,54.167,486,5027,181.0288,0.0,0.6725,-31.945,True
【B12_6】 우울 척도▶피곤하고 기운이 없었다.,거의 매일,34.774,8.434,486,5027,320.2719,0.0,0.672,26.34,True
【B1_1】 평소 생활 패턴▶나는 우리 가족과 친밀한 편이다,Bottom2(①+②),33.951,8.136,486,5027,316.6004,0.0,0.6655,25.815,True
"【B12_7】 우울 척도▶내가 잘못했거나, 실패했다는 생각이 들었다/혹은 자신과 가족을 실망시켰다고 생각했다.",없음,25.72,57.887,486,5027,185.3108,0.0,0.6655,-32.167,True
【B1_2】 평소 생활 패턴▶나는 평소 가족과 대화를 자주 하는 편이다,Bottom2(①+②),40.535,12.373,486,5027,277.8605,0.0,0.6615,28.162,True
【A18_3】 외로움 척도▶나는 혼자 남겨진 것 같다고 느껴진다,Bottom2(①+②),30.247,61.667,486,5027,180.7198,0.0,0.6416,-31.42,True
【A18_3】 외로움 척도▶나는 혼자 남겨진 것 같다고 느껴진다,Top2(③+④),69.753,38.333,486,5027,180.7198,0.0,0.6416,31.42,True
【A13_3】 물리적 고립▶친한 친구나 친한 사람과의 대면 교류,한 달에한두 번,10.288,35.866,486,5027,129.9327,0.0,0.6312,-25.578,True
【A10】 지난 2주간 교류 상대,10~19명,3.252,22.648,486,5027,100.3506,0.0,0.6293,-19.396,True
【B10】 주관적 건강상태,좋은 편이다,12.346,38.81,486,5027,133.9493,0.0,0.627,-26.464,True
【A6】 본인의 주관적 경제 수준,적정함,11.607,37.573,486,5027,131.7506,0.0,0.6243,-25.966,True
【C8_4_1 TO C8_4_8】 서울시 고립·은둔청년 지원 사업 도움이 되지 않은 이유,기타(기입:  [TEXT_1] ),10.0,0.0,486,5027,511.3827,0.0,0.6235,10.0,True
【A18_3】 외로움 척도▶나는 혼자 남겨진 것 같다고 느껴진다,항상그렇다,29.218,6.704,486,5027,283.1402,0.0,0.6183,22.514,True
