var,axis,label,section,category,pct_iso,pct_gen,diff,h,n_iso,n_gen
A1,축2_사회이행,지난주 노동 여부,【A18_4】 외로움 척도▶나는 사람들 사이에서 고립되어 있다고 느껴진다,항상그렇다,30.9,5.8,25.1,0.692,486,5027
A1,축2_사회이행,지난주 노동 여부,【A18_4】 외로움 척도▶나는 사람들 사이에서 고립되어 있다고 느껴진다,Top2(③+④),70.8,36.8,34.0,0.696,486,5027
A1,축2_사회이행,지난주 노동 여부,【A18_4】 외로움 척도▶나는 사람들 사이에서 고립되어 있다고 느껴진다,Bottom2(①+②),29.2,63.2,-34.0,0.696,486,5027
A1,축2_사회이행,지난주 노동 여부,【A18_1 TO A18_4】 [Summary_4점 평균] 외로움 척도,나는 나와 같이 있어 줄 사람이 부족하다,2.9,2.3,0.6,0.037,486,5027
A1,축2_사회이행,지난주 노동 여부,【A18_1 TO A18_4】 [Summary_4점 평균] 외로움 척도,나는 도움을 청할 사람이 아무도 없다,2.9,2.1,0.8,0.051,486,5027
A1,축2_사회이행,지난주 노동 여부,【A18_1 TO A18_4】 [Summary_4점 평균] 외로움 척도,나는 혼자 남겨진 것 같다고 느껴진다,2.9,2.2,0.7,0.043,486,5027
A1,축2_사회이행,지난주 노동 여부,【A18_1 TO A18_4】 [Summary_4점 평균] 외로움 척도,나는 사람들 사이에서 고립되어 있다고 느껴진다,2.9,2.1,0.7,0.048,486,5027
A1,축2_사회이행,지난주 노동 여부,【A19_1】 성인기 전 경험▶집안 형편이 갑자기 어려워진 경험,없다,42.2,62.6,-20.4,0.412,486,5027
A1,축2_사회이행,지난주 노동 여부,【A19_1】 성인기 전 경험▶집안 형편이 갑자기 어려워진 경험,있다,57.8,37.4,20.4,0.412,486,5027
A1,축2_사회이행,지난주 노동 여부,【A19_2】 성인기 전 경험▶부모님(혹은 그 외의 나를 키워준 사람)이 나를 심하게 때리거나 꾸짖고 모욕했던 경험,없다,48.8,68.2,-19.4,0.398,486,5027
A1,축2_사회이행,지난주 노동 여부,【A19_2】 성인기 전 경험▶부모님(혹은 그 외의 나를 키워준 사람)이 나를 심하게 때리거나 꾸짖고 모욕했던 경험,있다,51.2,31.8,19.4,0.398,486,5027
A1,축2_사회이행,지난주 노동 여부,"【A19_3】 성인기 전 경험▶가족 중 누군가가 정서적으로 힘들어했던 경험(불안, 우울 등)",없다,37.9,59.4,-21.6,0.435,486,5027
A1,축2_사회이행,지난주 노동 여부,"【A19_3】 성인기 전 경험▶가족 중 누군가가 정서적으로 힘들어했던 경험(불안, 우울 등)",있다,62.1,40.6,21.6,0.435,486,5027
A1,축2_사회이행,지난주 노동 여부,【A19_4】 성인기 전 경험▶가까운 사람을 잃은 경험,없다,58.4,65.1,-6.7,0.137,486,5027
A1,축2_사회이행,지난주 노동 여부,【A19_4】 성인기 전 경험▶가까운 사람을 잃은 경험,있다,41.6,34.9,6.7,0.137,486,5027
A1,축2_사회이행,지난주 노동 여부,【A19_5】 성인기 전 경험▶전학이나 이사를 자주 한 경험,없다,67.5,74.0,-6.5,0.144,486,5027
A1,축2_사회이행,지난주 노동 여부,【A19_5】 성인기 전 경험▶전학이나 이사를 자주 한 경험,있다,32.5,26.0,6.5,0.144,486,5027
A1,축2_사회이행,지난주 노동 여부,【A19_6】 성인기 전 경험▶학교나 동네에서 다른 사람들에게 괴롭힘이나 따돌림을 당했던 경험,없다,42.8,68.3,-25.5,0.519,486,5027
A1,축2_사회이행,지난주 노동 여부,【A19_6】 성인기 전 경험▶학교나 동네에서 다른 사람들에게 괴롭힘이나 따돌림을 당했던 경험,있다,57.2,31.7,25.5,0.519,486,5027
A2,축2_사회이행,취업 의향,【A20_1】 성인기 후 경험▶돈이 없어서 학교를 그만 다녀야 했던 경험,없다,86.4,90.2,-3.8,0.118,486,5027
A2,축2_사회이행,취업 의향,【A20_1】 성인기 후 경험▶돈이 없어서 학교를 그만 다녀야 했던 경험,있다,13.6,9.8,3.8,0.118,486,5027
A2,축2_사회이행,취업 의향,【A20_2】 성인기 후 경험▶가까운 사람이 취업 문제로 나를 압박하거나 진로를 강요했던 경험,없다,54.7,74.1,-19.4,0.409,486,5027
A2,축2_사회이행,취업 의향,【A20_2】 성인기 후 경험▶가까운 사람이 취업 문제로 나를 압박하거나 진로를 강요했던 경험,있다,45.3,25.9,19.4,0.409,486,5027
A2,축2_사회이행,취업 의향,【A20_3】 성인기 후 경험▶내가 원했던 때에 대학 입학을 못했던 경험,없다,62.3,70.9,-8.6,0.182,486,5027
A2,축2_사회이행,취업 의향,【A20_3】 성인기 후 경험▶내가 원했던 때에 대학 입학을 못했던 경험,있다,37.7,29.1,8.6,0.182,486,5027
A2,축2_사회이행,취업 의향,【A20_4】 성인기 후 경험▶내가 원했던 학교에 들어가지 못했던 경험,없다,47.9,56.0,-8.1,0.162,486,5027
A2,축2_사회이행,취업 의향,【A20_4】 성인기 후 경험▶내가 원했던 학교에 들어가지 못했던 경험,있다,52.1,44.0,8.1,0.162,486,5027
A2,축2_사회이행,취업 의향,【A20_5】 성인기 후 경험▶내가 원했던 때에 취업을 못했던 경험,없다,35.4,54.3,-18.9,0.382,486,5027
A2,축2_사회이행,취업 의향,【A20_5】 성인기 후 경험▶내가 원했던 때에 취업을 못했던 경험,있다,64.6,45.7,18.9,0.382,486,5027
A2,축2_사회이행,취업 의향,【A20_6】 성인기 후 경험▶내가 원했던 직장에 들어가지 못했던 경험,없다,39.3,50.4,-11.1,0.224,486,5027
A2,축2_사회이행,취업 의향,【A20_6】 성인기 후 경험▶내가 원했던 직장에 들어가지 못했던 경험,있다,60.7,49.6,11.1,0.224,486,5027
A2,축2_사회이행,취업 의향,【A20_7】 성인기 후 경험▶믿었던 사람이 내게 사기를 치거나 배신했던 경험,없다,50.2,68.4,-18.2,0.373,486,5027
A2,축2_사회이행,취업 의향,【A20_7】 성인기 후 경험▶믿었던 사람이 내게 사기를 치거나 배신했던 경험,있다,49.8,31.6,18.2,0.373,486,5027
A2,축2_사회이행,취업 의향,"【A20_8】 성인기 후 경험▶가까웠던 사람과 헤어져야 했던 경험(절교, 죽음 등)",없다,42.6,58.5,-15.9,0.32,486,5027
A2,축2_사회이행,취업 의향,"【A20_8】 성인기 후 경험▶가까웠던 사람과 헤어져야 했던 경험(절교, 죽음 등)",있다,57.4,41.5,15.9,0.32,486,5027
B2,축3_생활건강,수면 시간,【B2】 평균 수면 시간,4시간 이하,6.5,4.1,2.4,0.109,368,4985
B2,축3_생활건강,수면 시간,【B2】 평균 수면 시간,5~6시간,41.3,39.5,1.8,0.036,368,4985
B2,축3_생활건강,수면 시간,【B2】 평균 수면 시간,7~8시간,44.8,51.9,-7.1,0.141,368,4985
B2,축3_생활건강,수면 시간,【B2】 평균 수면 시간,9시간 이상,7.3,4.5,2.8,0.121,368,4985
B2,축3_생활건강,수면 시간,【B2_R】 수면 시간(Recode),4시간 미만,3.5,1.6,2.0,0.127,369,4984
B2,축3_생활건강,수면 시간,【B2_R】 수면 시간(Recode),4~8시간 미만,69.9,73.9,-3.9,0.088,369,4984
B2,축3_생활건강,수면 시간,【B2_R】 수면 시간(Recode),8~12시간 미만,25.2,24.1,1.1,0.025,369,4984
B2,축3_생활건강,수면 시간,【B2_R】 수면 시간(Recode),12~16시간 미만,1.1,0.4,0.7,0.085,369,4984
B2,축3_생활건강,수면 시간,【B2_R】 수면 시간(Recode),16시간 이상,0.3,0.1,0.2,0.055,369,4984
B7,축3_생활건강,식사 횟수,【B7】 평소 식사 횟수,하루에 4끼 이상,1.6,1.2,0.4,0.037,486,5027
B7,축3_생활건강,식사 횟수,【B7】 평소 식사 횟수,하루에 3끼,23.7,34.9,-11.2,0.248,486,5027
B7,축3_생활건강,식사 횟수,【B7】 평소 식사 횟수,하루에 2끼,56.8,58.1,-1.4,0.027,486,5027
B7,축3_생활건강,식사 횟수,【B7】 평소 식사 횟수,하루에 1끼,13.0,4.8,8.2,0.295,486,5027
B7,축3_생활건강,식사 횟수,【B7】 평소 식사 횟수,2~3일 간격으로 1끼,1.6,0.6,1.0,0.098,486,5027
B7,축3_생활건강,식사 횟수,【B7】 평소 식사 횟수,거의 먹지 않음,2.1,0.3,1.8,0.182,486,5027
B7,축3_생활건강,식사 횟수,【B7】 평소 식사 횟수,기타(기입:  [TEXT_1] ),1.2,0.0,1.2,0.194,486,5027
B10,축3_생활건강,주관적 건강상태,【B10】 주관적 건강상태,매우 나쁘다,10.7,1.0,9.7,0.467,486,5027
B10,축3_생활건강,주관적 건강상태,【B10】 주관적 건강상태,나쁜 편이다,32.5,10.3,22.2,0.559,486,5027
B10,축3_생활건강,주관적 건강상태,【B10】 주관적 건강상태,보통이다,40.9,42.5,-1.5,0.031,486,5027
B10,축3_생활건강,주관적 건강상태,【B10】 주관적 건강상태,좋은 편이다,12.3,38.8,-26.5,0.627,486,5027
B10,축3_생활건강,주관적 건강상태,【B10】 주관적 건강상태,매우 좋다,3.5,7.4,-3.9,0.175,486,5027
B10,축3_생활건강,주관적 건강상태,【B10】 주관적 건강상태,Top2(④+⑤),15.8,46.2,-30.4,0.677,486,5027
B10,축3_생활건강,주관적 건강상태,【B10】 주관적 건강상태,Middle(③),40.9,42.5,-1.5,0.031,486,5027
B10,축3_생활건강,주관적 건강상태,【B10】 주관적 건강상태,Bottom2(①+②),43.2,11.3,31.9,0.748,486,5027
B12_1,축3_생활건강,우울-우울감,"【B12_1】 우울 척도▶기분이 가라앉거나, 우울하거나, 희망이 없다고 느꼈다.",없음,22.2,54.2,-31.9,0.672,486,5027
B12_1,축3_생활건강,우울-우울감,"【B12_1】 우울 척도▶기분이 가라앉거나, 우울하거나, 희망이 없다고 느꼈다.","2, 3일 이상",34.8,32.8,2.0,0.042,486,5027
B12_1,축3_생활건강,우울-우울감,"【B12_1】 우울 척도▶기분이 가라앉거나, 우울하거나, 희망이 없다고 느꼈다.",7일 이상,17.1,9.6,7.5,0.221,486,5027
B12_1,축3_생활건강,우울-우울감,"【B12_1】 우울 척도▶기분이 가라앉거나, 우울하거나, 희망이 없다고 느꼈다.",거의 매일,25.9,3.4,22.5,0.697,486,5027
B12_2,축3_생활건강,우울-흥미상실,【B12_2】 우울 척도▶평소 하던 일에 대한 흥미가 없어지거나 즐거움을 느끼지 못했다.,없음,22.8,45.8,-23.0,0.49,486,5027
B12_2,축3_생활건강,우울-흥미상실,【B12_2】 우울 척도▶평소 하던 일에 대한 흥미가 없어지거나 즐거움을 느끼지 못했다.,"2, 3일 이상",30.0,35.8,-5.8,0.124,486,5027
B12_2,축3_생활건강,우울-흥미상실,【B12_2】 우울 척도▶평소 하던 일에 대한 흥미가 없어지거나 즐거움을 느끼지 못했다.,7일 이상,18.1,13.8,4.3,0.118,486,5027
B12_2,축3_생활건강,우울-흥미상실,【B12_2】 우울 척도▶평소 하던 일에 대한 흥미가 없어지거나 즐거움을 느끼지 못했다.,거의 매일,29.0,4.6,24.4,0.706,486,5027
B12_1,축3_생활건강,우울-우울감,【B12_1 TO B12_9】 우울 척도 총점,.00,7.6,22.6,-15.0,0.433,486,5027
B12_1,축3_생활건강,우울-우울감,【B12_1 TO B12_9】 우울 척도 총점,1.00,2.5,10.0,-7.5,0.327,486,5027
B12_1,축3_생활건강,우울-우울감,【B12_1 TO B12_9】 우울 척도 총점,2.00,2.9,8.6,-5.7,0.253,486,5027
B12_1,축3_생활건강,우울-우울감,【B12_1 TO B12_9】 우울 척도 총점,3.00,4.9,6.8,-1.9,0.08,486,5027
B12_1,축3_생활건강,우울-우울감,【B12_1 TO B12_9】 우울 척도 총점,4.00,3.9,6.4,-2.5,0.113,486,5027
B12_1,축3_생활건강,우울-우울감,【B12_1 TO B12_9】 우울 척도 총점,5.00,4.5,5.4,-0.8,0.038,486,5027
B12_1,축3_생활건강,우울-우울감,【B12_1 TO B12_9】 우울 척도 총점,6.00,4.7,4.6,0.1,0.006,486,5027
B12_1,축3_생활건강,우울-우울감,【B12_1 TO B12_9】 우울 척도 총점,7.00,3.7,3.8,-0.1,0.005,486,5027
B12_1,축3_생활건강,우울-우울감,【B12_1 TO B12_9】 우울 척도 총점,8.00,3.1,3.6,-0.5,0.026,486,5027
B12_1,축3_생활건강,우울-우울감,【B12_1 TO B12_9】 우울 척도 총점,9.00,4.5,3.8,0.7,0.037,486,5027
B12_1,축3_생활건강,우울-우울감,【B12_1 TO B12_9】 우울 척도 총점,10.00,4.3,2.2,2.2,0.123,486,5027
B12_1,축3_생활건강,우울-우울감,【B12_1 TO B12_9】 우울 척도 총점,11.00,3.7,2.4,1.3,0.078,486,5027
B12_1,축3_생활건강,우울-우울감,【B12_1 TO B12_9】 우울 척도 총점,12.00,3.5,2.7,0.8,0.046,486,5027
B12_1,축3_생활건강,우울-우울감,【B12_1 TO B12_9】 우울 척도 총점,13.00,6.0,2.9,3.0,0.15,486,5027
B12_1,축3_생활건강,우울-우울감,【B12_1 TO B12_9】 우울 척도 총점,14.00,2.7,3.3,-0.7,0.039,486,5027
B12_1,축3_생활건강,우울-우울감,【B12_1 TO B12_9】 우울 척도 총점,15.00,2.7,2.6,0.1,0.006,486,5027
B12_1,축3_생활건강,우울-우울감,【B12_1 TO B12_9】 우울 척도 총점,16.00,4.5,1.9,2.7,0.156,486,5027
B12_1,축3_생활건강,우울-우울감,【B12_1 TO B12_9】 우울 척도 총점,17.00,5.6,1.5,4.1,0.234,486,5027
B12_1,축3_생활건강,우울-우울감,【B12_1 TO B12_9】 우울 척도 총점,18.00,4.3,1.2,3.2,0.204,486,5027
B12_1,축3_생활건강,우울-우울감,【B12_1 TO B12_9】 우울 척도 총점,19.00,2.1,0.9,1.2,0.103,486,5027
B12_1,축3_생활건강,우울-우울감,【B12_1 TO B12_9】 우울 척도 총점,20.00,2.7,0.8,1.9,0.154,486,5027
B12_1,축3_생활건강,우울-우울감,【B12_1 TO B12_9】 우울 척도 총점,21.00,1.4,0.7,0.8,0.078,486,5027
B12_1,축3_생활건강,우울-우울감,【B12_1 TO B12_9】 우울 척도 총점,22.00,1.2,0.5,0.7,0.082,486,5027
B12_1,축3_생활건강,우울-우울감,【B12_1 TO B12_9】 우울 척도 총점,23.00,1.9,0.4,1.5,0.15,486,5027
B12_1,축3_생활건강,우울-우울감,【B12_1 TO B12_9】 우울 척도 총점,24.00,2.3,0.3,2.0,0.2,486,5027
B12_1,축3_생활건강,우울-우울감,【B12_1 TO B12_9】 우울 척도 총점,25.00,1.0,0.1,0.9,0.129,486,5027
B12_1,축3_생활건강,우울-우울감,【B12_1 TO B12_9】 우울 척도 총점,26.00,1.2,0.0,1.2,0.183,486,5027
B12_1,축3_생활건강,우울-우울감,【B12_1 TO B12_9】 우울 척도 총점,27.00,6.6,0.4,6.2,0.393,486,5027
